nodename,nodeclass,describe,properties
"遗传","医学术语","遗传算法（Genetic Algorithm）是模拟达尔文生物进化论的自然选择和遗传学机理的生物进化过程的计算模型，是一种通过模拟自然进化过程搜索最优解的方法。遗传算法是从代表问题可能潜在的解集的一个种群（population）开始的，而一个种群则由经过基因（gene）编码的一定数目的个体（individual）组成。每个个体实际上是染色体（chromosome）带有特征的实体。染色体作为遗传物质的主要载体，即多个基因的集合，其内部表现（即基因型）是某种基因组合，它决定了个体的形状的外部表现，如黑头发的特征是由染色体中控制这一特征的某种基因组合决定的。因此，在一开始需要实现从表现型到基因型的映射即编码工作。由于仿照基因编码的工作很复杂，我们往往进行简化，如二进制编码，初代种群产生之后，按照适者生存和优胜劣汰的原理，逐代（generation）演化产生出越来越好的近似解，在每一代，根据问题域中个体的适应度（fitness）大小选择（selection）个体，并借助于自然遗传学的遗传算子（genetic operators）进行组合交叉（crossover）和变异（mutation），产生出代表新的解集的种群。这个过程将导致种群像自然进化一样的后生代种群比前代更加适应于环境，末代种群中的最优个体经过解码（decoding），可以作为问题近似最优解。","中文名：遗传；英文名：Genetic Algorithm；别称：遗传算法；定义：是一类借鉴生物界的进化规律；基本运算：初始化；特点：对于各种通用问题都可以使用；"
"武汉市金银潭医院","医院","武汉市金银潭医院原为武汉市医疗救治中心，是武汉地区唯一一家具有近百年历史的公共卫生医疗救治基地。金银潭医院是集临床、教学、科研于一体的综合医疗机构，是湖北省、武汉市突发公共卫生事件医疗救治定点医院。","中文名称：武汉市金银潭医院；所在地区：武汉市；医院类型：综合医院；医院等级：三级甲等；"
"呼吸病学","学科","呼吸病学是一门新兴的医疗学科，研究的对象主要是呼吸道疾病（如支气管炎、肺气肿、肺心病、支气管哮喘、肺癌）的预防与治疗。随着科学的进步，呼吸病学将会在医学中越来越广泛应用。","名称：呼吸病学；作者：朱元珏，陈文彬 主编；ISBN：9787117050463；出版社：人民卫生出版社；开本：16；出版时间：2006年1月1日；装帧：精装；"
"曾文聪","人物","曾文聪，男，生前系广东省英德市桥头镇派出所辅警。2020年1月26日，曾文聪在抗疫一线殉职，时年26岁。","中文名：曾文聪；国籍：中国；去世日期：2020年1月26日；"
"杨思宇","人物","杨思宇，女，中共党员。武汉大学动力与机械学院07级水质科学与技术专业学生，曾担任学院分团委新闻部部长、新闻中心主任等职务，院合唱团成员。现任湖南省汨罗市高家坊镇读书活动及羽毛球、跳绳等其他文化娱乐活动小组成员。","中文名：杨思宇；性别：女；国籍：中国；职业：高家坊镇工作人员；毕业院校：武汉大学动力与机械学院；主要成就：2007年、2008年连续两年被评为“武汉大学社会活动积极分子”，获评动力与机械学院“优秀干部”“优秀志愿者”等称号；职务：2012年6月，被武汉大学推荐为基层就业优秀学生代表，获评2012年普通毕业生“领航人物”。；政治面貌：现任湖南省汨罗市高家坊镇读书活动及羽毛球、跳绳等其他文化娱乐活动小组成员；"
"陈晨","人物","陈晨 博士，澳大利亚昆士兰大学生命医学科学研究院教授，西安交通大学医学院特聘教授，代谢病研究所所长，硕士及博士生导师。在国际上率先开展内分泌细胞膜离子通道及胞内信息传递的研究工作，确立了膜离子通道在内分泌细胞功能调节中的关键作用；在生长激素和胰岛素调节多种组织细胞功能的机制研究中作出重要贡献，是国际内分泌细胞生物学领域的领军人物之一。","中文名：陈晨；出生日期：1956年；性别：男；民族：汉族；国籍：中国；职业：教师；"
"北京医学院","医院","北京大学医学部（Peking University Health Science Center），前身是国立北京医学专门学校，创建于1912年10月26日，是中国政府教育部依靠中国自己的力量开办的第一所专门传授西方医学的国立学校。2000年4月3日，原北京医科大学与北京大学正式合并，组建新的北京大学。2000年5月4日，北京医科大学正式更名为北京大学医学部。北医集教学、科研、医疗为一体，以本科教育、研究生教育为主，学科覆盖基础医学、临床医学、口腔医学、药学、预防医学、护理学等六大门类，专业齐全，基础医学口腔医学专业实行八年制，临床医学专业分为五年制和八年制两种。北京大学医学部是国家“211工程”和“985工程”首批建设的高等学校，是中国最重要的医学创新研究基地和高级医药卫生人才的培养基地之一。北医地处北京市海淀区中关村科技园区。截至2017年12月，北医设有6个学院（部）、6家直属附属医院、4家共建附属医院和14家教学医院。","中文名：北京大学医学部；外文名：Peking University Health Science Center；别称：北医（PUHSC）；创办时间：1912年10月26日；学校类别：公立；学校类型：医药；学校属性：211；现任校长：刘玉村；知名校友：屠呦呦，吴阶平，王夔，韩济生，乔杰；主管部门：北京大学；硕士点：70个硕士学位授权点；博士点：64个博士学位授权点；博士后流动站：科研流动站8个；专职院士：中国科学院院士5人，中国工程院院士5人；主要院系：基础医学院、药学院、公共卫生学院；国家重点学科：一级学科3个；学校地址：北京市海淀区学院路38号（100191）；学校代码：1045；主要奖项：国家自然科学二等奖3项，国家科技进步二等奖7项（2012-2016），北京市科学技术奖22项（2012-2016），教育部高等学校科学研究优秀成果奖30项；现任领导：党委书记：刘玉村、主任：詹启敏；党委书记：刘玉村；主任：詹启敏；官网：http//www.bjmu.edu.cn；"
"苏莱曼·巴马丁","人物","苏莱曼·巴马丁，曾任新疆维吾尔自治区乌恰县公安局阿克公安检查站副站长、辅警。","外文名：苏莱曼·巴马丁；国籍：中国；职务：新疆维吾尔自治区乌恰县公安局阿克公安检查站原副站长、辅警；"
"宋英杰","人物","宋英杰，1965年1月15日出生于辽宁省沈阳市铁西区，祖籍河南邓州，中央电视台天气预报节目主持人。1984年他以优异的成绩考入南京气象学院（现南京信息工程大学）天气动力专业，毕业后被分配到中央气象台从事预报工作。宋英杰以其专业的背景、知性的形象和自然诙谐的语言风格赢得了观众的喜爱。2004年在“我最喜爱的气象主持人”全国性评选中，获得最佳主持人“气象先生”称号。2015年1月1日，主持湖北卫视健康美食养生栏目《饮食养生汇》。","中文名：宋英杰；别名：气象先生；出生地：辽宁省沈阳市铁西区；民族：汉；血型：O；国籍：中国；星座：白羊座；职业：演艺 主持人；毕业院校：北京气象学院；代表作品：《气象节目主持概论》、《天气真好》、《咱们的天气预报》；身高：178cm；体重：81kg；"
"胡锋","人物","胡锋，男，1971年5月生，江西修水人。现客居北京。中国散文学会会员。","中文名：胡锋；出生日期：1971年5月；性别：男；民族：汉；国籍：中国；职业：中国散文学会会员；代表作品：《中华诗词史鉴》、《中华诗词大全》（全十卷）等；所获荣誉：策划、举办第二届“新视野杯”全国文学征文大赛、《小说选刊》首届全国小说笔会等多种文学交流活动，得到文学界的高度肯定和好评。；"
"心肌梗塞","疾病","心肌梗塞是又叫心肌梗死，是指急性、持续性缺血、缺氧（冠状动脉功能不全）所引起的心肌坏死；指在冠状动脉病变的基础上，冠状动脉的血液中断，使相应的心肌出现严重而持久地急性缺血，最终导致心肌的缺血性坏死；发生急性心肌梗塞的病人，在临床上常有持久的胸骨后剧烈疼痛、发热、白细胞计数增高、血清心肌酶升高以及心电图反映心肌急性损伤、缺血和坏死的一系列特征性演变，并可出现心律失常、休克和心力衰竭，属冠心病的严重类型，可并发心律失常、休克或心力衰竭等合并症，常可危及生命。本病在欧美最常见，美国每年约有150万人发生心肌梗死。中国近年来呈明显上升趋势，每年新发至少50万，现患至少200万。","中文名：心肌梗塞；外文名：myocardial infarct；别名：心肌梗死；传染病：否；临床表现：胸骨后疼痛；就诊科室：内科；发病部位：心脏；常见病因：过劳，激动，暴饮暴食，寒冷刺激；"
"于正洲","人物","于正洲（1972年2月-2020年1月30日）男，汉族，山东临邑人，1993年9月参加工作，2008年8月加入中国共产党。生前系齐鲁交通发展集团有限公司淄博分公司收费管理部部长。2020年1月30日，于正洲在滨莱高速公路淄博西收费站外广场检查工作期间，突感身体不适，经抢救无效，因公殉职。","中文名：于正洲；出生日期：1972年2月；性别：男；国籍：中国；去世日期：2020年1月30日；"
