永州同城,:#永州身边事#【大爱
德国印象t,:为了更有效地追踪到#新型冠状病毒#的密切接触者，德国将要求所有乘坐火车的乘客填写"下车卡"，留下自己的联系方式，一旦发现新型冠状病毒的感染者时，以便能及时地联系和通知其它同行的乘客。德国的火车票不实行实名制，所以，官方的这一措施应该也是临时性的。不过，对于那些在德国黑混的外国人来说，这一措施可能会影响他们的正常出行。
中国舆论场,:#众志成城抗击疫情#日本疫情的蔓延也引发了各界关注，据共同社报道，日本2月29日新确诊8人感染新型冠状病毒，包括“钻石公主”号邮轮的乘客及船员在内，感染者总计达946人。为防止疫情扩大，日本文部科学省2月28日向各地教育委员会发出通知，正式要求全国的中小学等从3月2日起停课、至春假结束。#中国舆论场#正在直播！（图为：2月27日在日本北海道北广岛市拍摄的一所已停课的公立小学。）
昂瑞兹,:#新型冠状病毒#美国“吹哨人”告诉你美国的掩盖事实看看新闻今日事的微博视频
宁夏-Ningxia,:#韩国入境人员七成为中国内地居民#请反思一下宁夏那两名从伊朗回国的感染者为什么能感染一路，难道从入境到回到家之前这一路都没有检测出来吗？回到宁夏就被发现了？防疫措施是否存在漏洞值得深思。#新型冠状病毒##意大利居民拒戴口罩要自由#银川
闻来闻往,:科威特确认新增1例新型冠状病毒感染者http://t.cn/A67JpF3l
中国新闻周刊,:【科威特新增1例新型冠状病毒感染者#科威特累计确诊46例新冠肺炎#】#周刊君与你共同战疫#科威特卫生部当地时间3月1日上午召开记者会，宣布确认新增1例新型冠状病毒感染者，科威特境内的新型冠状病毒感染者数量也因此增加至46例。科威特卫生部专门小组负责人表示，新增病例为近期从伊朗返回科威特人员，目前所有确诊感染者身体状况均良好，已接受相关治疗。（央视新闻）
宁国传媒网,:3月1日宁国市新型冠状病毒肺炎疫情防控情况通报截至2月29日24时，我市共报告确诊病例2例（治愈1例），无新增疑似病例、感染者报告；发热门诊就诊累计2456人（新增31人），留观36人（无新增），35人已出院（无新增）。确诊病例（李某某）在宣城市人民医院隔离治疗，目前病情平稳。该确诊病例密切接触者已追踪到32人（无新增），其中31人已解除隔离医学观察（无新增），剩余1人隔离医学观察无异常。截至2月29日24时，累计摸排湖北来（返）宁1238人（无新增），并对随访对象全部开展随访；解除居家隔离医学观察1222人（无新增）。温馨提醒：要复工，体温报；防新冠，多开窗；勤洗手，戴口罩；分餐吃，一米遥；身有恙，要上报；咳嗽礼仪太重要！宁国市新型冠状病毒肺炎疫情防控应急指挥部办公室2020年3月1日
潍坊人潍坊事儿,:【2020年3月1日0时至12时山东省新型冠状病毒肺炎疫情情况】2020年3月1日0-12时，山东省无新冠肺炎疑似病例；新增确诊病例2例（均为集中隔离观察的无症状感染者，经核酸和CT等检查确诊），累计确诊病例758例（其中，重症病例8例，危重症病例2例，死亡病例6例）；新增治愈出院8例，累计治愈出院439例。截至目前，追踪到密切接触者16872人，已解除医学观察15968人，诊断为疑似或确诊病例291例，尚有613人正在接受医学观察。（备注：根据要求，按病例确诊时医院所在县区统计。）#潍坊人潍坊事儿#
山东发布,:#众志成城抗击疫情#【2020年3月1日0时至12时山东省新型冠状病毒肺炎疫情情况】2020年3月1日0-12时，山东省无新冠肺炎疑似病例;新增确诊病例2例(均为集中隔离观察的无症状感染者，经核酸和CT等检查确诊)，累计确诊病例758例(其中，重症病例8例，危重症病例2例，死亡病例6例);新增治愈出院8例，累计治愈出院439例。截至目前，追踪到密切接触者16872人，已解除医学观察15968人，诊断为疑似或确诊病例291例，尚有613人正在接受医学观察。详见下表(单位:例):备注:根据要求，按病例确诊时医院所在县区统计。http://t.cn/A67Jzet3
泰国头条新闻,:【新冠状病毒的症状表现是怎样的？】#全球疫情##泰国疫情##全球抗疫第一线##新冠肺炎疫情泰国消息更新#泰国头条新闻社讯新型冠状病毒，一种让感染者产生呼吸系统疾病的病毒，一种能够通过人传人的病毒。为了防止新型冠状病毒的传播，疾病控制部门，公共卫生部，就新型冠状病毒的症状和防止感染的方法以及这段时间生病的处理方法给出建议。来自公共卫生部门的资料指出：这类病毒在群体的密切接触中，能够通过人传人。大多数通过咳嗽，打喷嚏，鼻涕以及唾液的飞沫，痰液传播。因此，人们应该避免接触和接近患者。经常用香皂洗手，或用60%浓度的酒精洗手，且不用手接触眼睛、鼻子和嘴。疾病控制部门指出，新型冠状病毒的症状有：发烧，咳嗽，有鼻涕，呼吸困难。有些患者存在并发症，比如，肺炎。因此，拉匹潘•拉达拉翁拉拉末医生指出：新型冠状病毒的感染者在1到14天内才开始出现症状。初显症状大多为发烧，咳嗽，喉咙痛，乏力，肌肉酸痛，呼吸困难，腹泻。如果患者体质较弱，抵抗力低下，症状会更加反常或者导致死亡。疾病控制部门建议，在新型冠状病毒传播期间生病了应该在家休息，停止出行，避免与群体接触；每次咳嗽和打喷嚏的时，用纸巾捂住嘴和鼻子，且每次把纸巾丢进垃圾桶；固定清洁消毒物品和与身体有接触的各类物品。除此之外，对于那些曾出行至新冠状病毒高风险国家以后生病的人，比如：发烧，咳嗽，流鼻涕，呼吸困难，一定要去看医生，告诉医生出行史。并且全程戴好医用口罩，避免与他人同行。近日，来自朱拉隆功大学的防御医学和社会医学院提拉•哇拉塔拉拉医师通过Hfocus.org网站分享：已有资料显示，大多数的感染者症状都不明显，大约有15%的人有较强烈症状，死亡率在2%左右。同时，医师还补充：尽管死亡率较低，但是也要认真保护，因为被感染很容易，而且疫情传播形式还不确定。http://t.cn/A67JzCzP来源：prachachat译：阳玉兰审：李艾伦（“新冠肺炎”中泰文翻译志愿者）
招財貓rainking,:看看下面的新闻，伊朗的情况太不容乐观了！亚美尼亚总理帕希尼扬表示，3月1日，该国发现首例新冠肺炎确诊病例，患者曾赴邻国伊朗。【巴林新增3例新型冠状病毒感染者】据央视，巴林卫生部当地时间29日下午发布公告，确认境内新增3例新型冠状病毒感染者。三名感染者均为巴林公民，此前从伊朗经中转达到巴林，在抵达机场后被发现感染。【卡塔尔确诊首例新冠肺炎】据央视，当地时间29日，卡塔尔卫生部发表声明证实，该国日前确诊了首例新冠肺炎病例。该患者是一名近期从伊朗返回的36岁卡塔尔公民科威特卫健部：科威特新增1例新冠肺炎确诊病例，该患者从伊朗回到科威特。
武侠天下NOB,:#日本疫情#哈哈哈，这个很日本
能能向前冲,【2020年3月1日0时至12时山东省新型冠状病毒肺炎疫情情况】2020年3月1日0-12时，山东省无新冠肺炎疑似病例；新增确诊病例2例（均为集中隔离观察的无症状感染者，经核酸和CT等检查确诊），累计确诊病例758例（其中，重症病例8例，危重症病例2例，死亡病例6例）；新增治愈出院8例，累计治愈出院439例。截至目前，追踪到密切接触者16872人，已解除医学观察15968人，诊断为疑似或确诊病例291例，尚有613人正在接受医学观察。（备注：根据要求，按病例确诊时医院所在县区统计。）http://t.cn/A67xgDOj详见下表（单位:例）：
