闻且如是_,#HereatAWS#
襄阳晚报,:#众志成城，齐心协力##襄阳战疫#【歌颂奋斗在前线的逆行者襄阳籍歌手李行亮新歌《天使的背影》发布】本报讯（通讯员周钰婷全媒体记者王艳萍）“告别了亲朋，勇敢者逆行，向病区，义无反顾，踏上征程。洁白的服装，天使的心灵……”2月3日，襄阳籍歌手李行亮新歌《天使的背影》发布，朴实、真切的歌词，让无数网友动容。http://t.cn/A6PQjQRn这首饱含深情的《天使的背影》，短短一天的时间里，引起了网友的广泛关注和转发。这首歌由天马人龙作词，彭原与李行亮作曲。据了解，李行亮出生于湖北襄阳，因《愿得一人心》《特别想念你》等歌曲而被歌友们所喜爱。近日，身在外地的李行亮看到网上关于疫情的报道，内心无法平静，尤其担心湖北襄阳的家乡人们，为此萌生了为抗击疫情创作歌曲的想法。“看到家乡遭受疫情，身为湖北襄阳人，也想为家乡贡献力量，尤其是这次奋斗在一线的医护人员们，也让我特别感动。”经过几天时间的准备，2月3日，李行亮的新歌《天使的背影》正式发布，这首歌为歌颂前线医护人员而创作歌曲播出后，很多网友称赞这首歌好听、感人，在朋友圈里纷纷转发，希望能在这个特殊的时期，让这首歌温暖更多的人。2月4日，李行亮在家中录制了视频，在视频里，他用亲切、地道的襄阳方言为我市抗击疫情加油鼓劲。接下来，李行亮将积极参与到我市音乐家协会开展的抗击疫情公益歌曲创作活动。http://t.cn/A6PQjSIX
襄阳日报,:#众志成城，齐心协力##襄阳城事#【歌颂奋斗在前线的逆行者襄阳籍歌手李行亮新歌《天使的背影》发布】（通讯员周钰婷全媒体记者王艳萍）“告别了亲朋，勇敢者逆行，向病区，义无反顾，踏上征程。洁白的服装，天使的心灵……”2月3日，襄阳籍歌手李行亮新歌《天使的背影》发布，朴实、真切的歌词，让无数网友动容。这首饱含深情的《天使的背影》，短短一天的时间里，引起了网友的广泛关注和转发。这首歌由天马人龙作词，彭原与李行亮作曲。据了解，李行亮出生于湖北襄阳，因《愿得一人心》《特别想念你》等歌曲而被歌友们所喜爱。近日，身在外地的李行亮看到网上关于疫情的报道，内心无法平静，尤其担心湖北襄阳的家乡人们，为此萌生了为抗击疫情创作歌曲的想法。“看到家乡遭受疫情，身为湖北襄阳人，也想为家乡贡献力量，尤其是这次奋斗在一线的医护人员们，也让我特别感动。”经过几天时间的准备，2月3日，李行亮的新歌《天使的背影》正式发布，这首歌为歌颂前线医护人员而创作歌曲播出后，很多网友称赞这首歌好听、感人，在朋友圈里纷纷转发，希望能在这个特殊的时期，让这首歌温暖更多的人。2月4日，李行亮在家中录制了视频，在视频里，他用亲切、地道的襄阳方言为我市抗击疫情加油鼓劲。接下来，李行亮将积极参与到我市音乐家协会开展的抗击疫情公益歌曲创作活动。http://t.cn/A6PQjSIX
顺城区政府办公室,:国药器械公司向我区捐赠防控物资2月2日，国药医疗器械（抚顺）有限公司董事长张松、副总经理张艳萍将口罩、手套、消毒液、护目镜等5266件疫情防控物资捐赠我区。区委书记王丽娟，区委常委、常务副区长、宣传部部长李培育，副区长姜红代表我区接受捐赠。当前，新型冠状病毒感染的肺炎疫情严重复杂，我区坚持联防联控、群防群控，疫情防控工作正在紧张有序进行，但一线疫情防控物资却十分紧缺。在此关键时刻，国药公司在全国防疫资源供应十分紧张的情况下，多方筹集相关物资，慷慨解囊、雪中送炭，为我区捐赠了各类疫情防控物资，彰显了该公司无私奉献、为民解难的高贵品质，体现了守望相助、共克时坚、共抗疫情的大爱情怀。国药医疗器械（抚顺）有限公司具备ISO9001及ISO13485国际质量体系认证，是抚顺市唯一一家具有医疗器械第三方物流资质的企业。
金塔县融媒体中心,:【众志成城抗击疫情】金塔：梁艳萍：用责任担当守护居民健康金塔县融媒体中心的微博视频
首都医科大学附属北京潞河医院,:#你好，副中心#【通州区总工会领导慰问北京潞河医院医务工作者】2月1日上午，通州区人大常委会副主任、区总工会主席尚祖国、通州区总工会党组书记、副主席关平、区总工会党组成员副主席徐淑兰、副主席张艳萍等领导在区委卫生健康工委书记、区卫生健康委主任白玉光、区卫健委工会主席高宝东的陪同下来到北京潞河医院，慰问奋战在抗击新型冠状病毒一线的医务人员。http://t.cn/A6PjP5eD
fish木子029,#不抢蔬菜的温馨提醒#【生活必需品得靠抢？专家刘艳萍特别提醒：别慌！莫抢！更不用囤！】近日，一张来自超市的“温馨提示”在朋友圈刷屏，上面写道：“我们不要互相折磨，好不好？咱不抢了，行不行？”受疫情影响，很多人担心蔬菜供应不足，于是出现了抢购现象。究竟现在国内大中小城市，生活必需品市场供给量如何？真的用抢吗？民众是否需要跟风大量囤积呢？http://t.cn/A6PlLEiv#新冠肺炎最新动态##武汉你好吗##共同战疫##疫情联防联控实时播报##湖北省特别是武汉市物资需要是重中之重##最新疫情地图#
易学伏明奇,#不抢蔬菜的温馨提醒#【生活必需品得靠抢？专家刘艳萍特别提醒：别慌！莫抢！更不用囤！】近日，一张来自超市的“温馨提示”在朋友圈刷屏，上面写道：“我们不要互相折磨，好不好？咱不抢了，行不行？”受疫情影响，很多人担心蔬菜供应不足，于是出现了抢购现象。究竟现在国内大中小城市，生活必需品市场供给量如何？真的用抢吗？民众是否需要跟风大量囤积呢？http://t.cn/A6PlLEiv#新冠肺炎最新动态##武汉你好吗##共同战疫##疫情联防联控实时播报##湖北省特别是武汉市物资需要是重中之重##最新疫情地图#
胖小玉胖,:疫情越发严重的感觉市场开门时间由正月初十延期至十五今天通知再一次延迟到正月二十四可能是因为老家在农村之前一直感觉疫情造成的影响不太大，封路的地方逐步增多，已经有意减少大家出门了不上班就意味着晚上不睡早上不起.要吃夜宵中午陪曾艳萍买鞋垫顺便买的泡面晚上就荣幸的发光了打个鸡蛋，配点小青菜、加点自家做的酸菜、再来点晚饭剩的酸辣土豆丝、赞赞赞👍
沉默是金2433,#不抢蔬菜的温馨提醒#【生活必需品得靠抢？专家刘艳萍特别提醒：别慌！莫抢！更不用囤！】近日，一张来自超市的“温馨提示”在朋友圈刷屏，上面写道：“我们不要互相折磨，好不好？咱不抢了，行不行？”受疫情影响，很多人担心蔬菜供应不足，于是出现了抢购现象。究竟现在国内大中小城市，生活必需品市场供给量如何？真的用抢吗？民众是否需要跟风大量囤积呢？http://t.cn/A6PlLEiv#新冠肺炎最新动态##武汉你好吗##共同战疫##疫情联防联控实时播报##湖北省特别是武汉市物资需要是重中之重##最新疫情地图#
龙潭街道,:#德惠龙潭#《左安漪园社区环境治理有绝招，听大咖们怎么说》社区的清洁离不开所有社区群众的共同参与，9月28日上午，左安漪园社区党委开展了“市容环境大扫除，干干净净迎国庆”主题大扫除活动，漪园社区党委书记王艳萍在社区活动室进行了动员，就环境治理的意义进行了宣导，社区在职党员、小巷管家、社工以及物业共计34人参加。
泽稷网校,:发布了头条文章：《泽稷教育与中南大学商学院教育基金捐赠签约仪式隆重举行》
相约9号0512,:#居村动态#今天上午，镇人大主席瞿理华、副镇长潘艳萍带队到碧波路居民区胡姬花园开展国庆节前安全检查，碧波路居委工作人员、社区民警以及小区物业工作人员等同志陪同。瞿理华一行先后实地检查了小区楼道、地下空间、电动车充电棚的消防安全设备，详细听取了相关负责人关于节前及节日期间各项安全措施落实情况。@今日张江http://t.cn/RcKjdL4
襄阳日报,:#襄阳城事#【我市女作家惠敏获得全国海洋文学大赛三等奖】9月21日晚，第九届“岱山杯”全国海洋文学大赛颁奖仪式在浙江岱山举行。我市青年女作家惠敏的散文《情海原配》以其优美的文笔、视角的独特、诗性的辽阔，穿越的哲思获得评委赞赏，荣获大赛三等奖。本届全国海洋文学大赛由中国散文学会、浙江省作家协会、岱山县人民政府主办，历时半年，共吸引海内外2120位作者参赛。经过筛选、推荐、评比，最终评出特等奖1名、一等奖2名、二等奖10名、三等奖20名、优秀奖25名。据了解，此次大赛全国各省、自治区、直辖市都有作者来稿。此外，还有来自美国、新加坡、澳大利亚等海外华侨作家的参赛稿。在评选出的58篇获奖作品中，中国作家协会会员的作品有19篇。我市作家能获得奖项，显示了我市作家的创作水准，提升了我市作家的形象。惠敏本名付惠敏，是我市税务局干部，中国散文学会会员，先后出版《送你一瓣月光》《汪国真诗选（惠敏赏析）》两本著作，其中，《送你一瓣月光》在今年全民阅读日上，成为市委书记李乐成同志向全市人民推荐的三本好书之一。(通讯员罗慧全媒体记者王艳萍）
吴兴插柳,:#城市生活家#【白莲桥村一群特殊的人举行国庆活动】#微博摄影大赛##新时代文明实践活动#9月26日上午，在长兴县画溪街道白莲桥村新时代文明实践站门口，鲜艳的五星红旗在国歌声中冉冉升起。这是该村为庆祝祖国成立70周年而举行的升旗仪式，而参加仪式的是全村1949年出生的老人和名叫“国庆”的人，他们与祖国一起庆生。除了升旗仪式，白莲桥村还专门邀请了中医院金主任做了《合理膳食》的健康讲座，看了爱国影片《建国大业》、唱了生日歌、切了生日蛋糕、吃了长寿面，最后还在与国旗合影时为祖国送上了满满的祝福，祝福祖国更美好。（薛艳萍）http://t.cn/EKOENl0
宜昌同城,:#宜昌爆料#【省肿瘤医院专家明天来宜义诊】（记者时刚通讯员谭云妃黄星）昨日，记者从宜昌市第二人民医院获悉，9月27日上午8:00-12:00，湖北省肿瘤医院5位专家将在市二医院肿瘤院区门诊一楼开展义诊咨询活动，有意参加者注意时间。此次，湖北省肿瘤医院胃肠外科副主任谢敏、胸部肿瘤放疗副主任王兆华、头颈部肿瘤放疗副主任黎艳萍、乳腺科副主任冯尧军、妇瘤科主任张慧峰将来宜，与宜昌市民面对面，免费把脉健康，解惑答疑。
山西青年报,:【阳泉市观象台社区为退役老兵发放纪念章】在国庆节来临前夕，上站街道积极开展新中国成立70周年纪念章发放工作暨退役军人走访慰问活动。9月24日，区人大副主任郭智明，街道副主任季文彦带领观象台社区主任赵艳萍及退役军人服务站工作人员，走访了观象台社区两位新中国成立前参军的退伍老兵，为他们送上新中国成立70周年纪念章。纪念章使用铜胎镀金材质，通径为50毫米，主要元素为五星、“70”飘带、团锦结、如意祥云和光芒，主色调为红色和金色，核心部分为五星，代表国家荣誉。“70”飘带象征中华人民共和国70年奋斗历程。每到一户，郭智明主任都会详细了解他们的生活、身体状况，聆听他们讲述难忘的革命经历，与他们一起重温艰苦斗争的革命岁月，老兵张德才接过纪念章激动的说：“这枚纪念章非常珍贵，承载着党和国家对退役老军人的关心和爱护。”没有老一辈军人的无私奉献，就没有如今人民群众的幸福生活。通过发放纪念章活动，不仅让退伍老战士感受到了党和政府的关怀，更激发了他们热爱祖国的情怀，增强了中国特色社会主义伟大事业凝聚力和感召力。（孟存田白莉娟）
劳动午报,:#职工资讯#【城市副中心金融行业职工赛业务技能】以赛促学、以练促学，弘扬工匠精神，提升业务技能……19日，通州区总工会联合北京银行城市副中心分行，共同举办“通州区职业技能竞赛暨北京银行城市副中心分行2019年技能大赛”，通州区总工会副主席张艳萍、北京银行城市副中心分行行长丁慈秀等领导参加此次活动。本次大赛历时三个月，分为初赛、复赛和决赛。北京银行城市副中心分行近400名职工报名参赛。在此期间，副中心分行辖区内62家网点开展了以点钞及翻打百张为内容的技能初赛，结合业务知识选拔，最终47名职工获得复赛参赛资格。http://t.cn/AinViTNg
本溪发布厅,:【大力招商引资上项目扩投资确保完成全年目标任务】　　9月11日晚，我市召开全市扩大有效投资、飞地经济和招商引资工作会议。市委副书记、市长田树槐主持会议并讲话。他强调，要认真贯彻落实全省扩大有效投资和招商引资工作会议精神，进一步动员全市上下抢时间、加速度、提质量，积极扩大有效投资，大力发展飞地经济，不断推动招商引资，集聚振兴发展新动能，确保完成全年目标任务，实现本溪经济社会持续健康发展。　　田树槐强调，在市委的坚强领导下，各县区、各部门要切实增强责任感和紧迫感，结合开展“不忘初心、牢记使命”主题教育，认真检视在经济工作中特别是在扩大有效投资、发展飞地经济、招商引资中存在的问题，进一步明确目标，坚定信心抓好项目建设，为全市经济发展提供有力支撑。　　田树槐要求，要咬住目标不放松，坚决完成固定资产投资、招商引资、飞地项目建设任务目标。尤其是各乡镇、街道要利用好飞地经济发展契机，以飞地园区为载体，大力开展招商引资活动，吸引更多的项目落户，不断壮大县区经济实力。要坚定不移打造最好营商环境，努力破除旧的思维定式，创新工作方式，在服务项目过程中，真正做到不为不办找借口、只为办好想办法，推动更多的项目尽快落地建设。要自觉对标对表重点工作部署要求，严格落实工作责任，切实加强工作调度，建立健全奖惩机制，推动完成各项目标任务。　　田树槐强调，要把抓经济工作与“不忘初心、牢记使命”主题教育有机结合起来，通过开展主题教育，进一步凝聚抓项目促发展的思想共识，不断增强为民谋利、对未来负责的责任感，提升敢于担当、勇于负责的工作干劲。各县区、各部门要心往一处想、劲往一处使，聚精会神抓经济，一心一意谋发展，推动招商引资上项目、扩大有效投资、发展飞地经济取得扎实成效。　　会上，市领导吴世民、任尊严、刘旭东、高巍分别就下一步工作作出部署，吴世民还传达了全省扩大有效投资和招商引资工作会议精神。市发改委、市商务局、市住建局负责同志分别汇报了全市投资、飞地经济、招商引资及房地产投资工作情况。本溪满族自治县、桓仁满族自治县、明山区、溪湖区、高新区负责同志分别作交流发言。　　市领导刘艳萍、于庆伟、牟傲风，市政府秘书长栾奎杰参加会议。
天津滨海交警,:幼教老师薛艳萍：愿用责任和爱心护佑孩子成长
烟台大学文经学院机电系,:机电系开展“创新创业教育”主题讲座为进一步引导机电新生树立创新创业意识，提高创新创业能力，进一步落实机电系实践育人的教育方针。9月9日晚，机电工程系于二教209举办“创新带动创业，实践成就梦想”创新创业教育主题讲座。机电系优秀创新学生代表杨国强、侯艳萍担任此次活动主讲人，机电系全体19级新生参加此次活动。活动伊始，主讲人侯艳萍就“什么是创新？”“为什么要创新创业？”“大学生应该怎样创业？”等系列问题，层层递进，逐步深入的展开讲解。并在讲解过程中以其自身经历为实例，向大家阐述创新创业的重要性以及必要性。紧接着，主讲人杨国强以科技创新协会为主体，向大家介绍了机电创新协会的部门组成和发展历程，并通过实物运行视频、科技模型、以及获奖证书等形式展示了近几年来机电系在科技创新方面所取得的成绩，向所有机电系新生展现了机电创新的别样风采。不仅使学生对创新创业有了新的认识，还使创新创业精神得到了进一步培养。此次活动的举办使机电系创新意识、创业能力的培养得到进一步的发展，为大学生提供了一个校内的创业实践平台和创新发展途径。相信在今后的校园生活中他们一定会秉承本次教育的精神，在创新创业的路上发光发热。@烟台大学文经学院记者团@烟台大学文经学院
驻马店市自然资源和规划局,:省纪委监委派驻省厅纪检监察组魏艳萍副组长、省三调办专职主任贾行雨和市纪委监委派驻第十七纪检监察组组长杨洪峰一行检查督导驻马店市国土三调工作2019年9月6日早上，省纪委监委派驻省厅纪检监察组魏艳萍副组长、省三调办专职主任贾行雨、市纪委监委派驻第十七纪检监察组组长杨洪峰一行来我市郑州三调整改地点调研指导国土三调工作，市三调办崔春常副局长、市三调办全体成员及各县区主管三调工作的主管局长、地籍股长和作业单位技术人员认真听取指导。崔春常副局长对驻厅纪检组魏艳萍组长、省三调办贾行雨处长、杨洪峰书记一行的到来表示热烈欢迎，对省厅长期以来对我市地籍工作和国土三调工作的关心和支持表示感谢，并详细介绍了目前我市三调工作的进展情况，以及尚未上报国家的县区的三调数据整改情况。驻厅纪检组魏组长一行一一查看了三调整改地点各县区的工作状况，听取了各县区主管局长对各自辖区三调工作的进展汇报。对正在进行整改工作的现场作业人员进行慰问，并对各县区三调办人员和协作单位加班加点、辛勤工作的工作态度提出表扬，同时要求我市各县区一定要坚守政治责任，压实领导责任，落实工作责任，采取有效措施，强力推进三调工作，切实践行自然资源部陆昊部长提出的“毫不动摇、寸步不让、虚报严惩、讲清原因”十六字要求，坚决按照国家时间节点上报数据，同时勉励大家一定要时间服从质量，既要严格按照省三调办时间节点按时上报国家三调成果，又要严格实事求是，确保三调成果质量。我市三调办及现场工作人员向省检查组现场表态要严格落实省厅领导的要求，按时保质保量完成我市三调初始成果上报国家任务。
赛罕财政发布,:呼和浩特市赛罕区“三举措”强化财务人员业务技能为进一步提高预算单位财务人员业务素质和职业道德水平，更好掌握政府会计制度和会计准则对会计事项核算的新标准和要求，切实为区委、区政府把好关，为单位管好账，为人民管好钱，提高资金使用效率。赛罕区坚持问题导向，强化财务人员业务技能，进一步提高全区预算单位财务工作水平。1、以会代训。召开财经纪律、财务审计业务等培训会。赛罕区为进一步规范财务管理，堵塞管理漏洞，提高财政资金使用效益，邀请原自治区统计局财务处处长、总会计师张耀强和内蒙古财经大学会计学院副院长郭艳萍通过梳理四届区委巡察发现问题，对全区预算单位财务人员分别从财经纪律执行和财务审计业务、内部控制建设方面进行专题培训，进一步提高了全区财务人员业务素质。2、以训促学。举办会计人员继续教育培训班。为使区属各预算单位更好的贯彻执行《政府会计制度》，赛罕区财政局根据各预算单位掌握运用《政府会计制度》的程度，分批从年初新旧会计制度衔接，部分会计科目核算内容应注意事项和预算单位业务处理过程中遇到的疑难问题等方面有针对性的进行培训，使全区财务人员专业技能更进一步。3、个别指导。为确保全区会计核算工作顺利进行，赛罕区财政局成立以财务业务尖子为成员的会计业务指导小组，研究探讨预算单位《政府会计制度》执行过程中遇到的难点，为区属预算单位会计提供业务咨询，确保全区会计核算工作顺利进行，提高全区财务工作水平。
零陵发布,:#全国民办教育投资十强学校——潇湘源学校今日建成办学#(记者潘爱民杨情陆单建华)8月31日上午，全国民办教育投资十强学校——潇湘源学校办学典礼在零陵区黄田铺镇举行。市委常委、统战部长石艳萍出席并宣布学校建成办学，区委书记唐烨出席并致辞，区委副书记、区长吴恢才等领导出席活动。　　在欢快的音乐声和喜庆的舞龙舞狮中，与会领导为以“自强不息敢为人先”为校训的潇湘源学校校名碑揭幕。在开学典礼上，石艳萍宣布潇湘源学校正式建成办学，标志着全市最大民办学校扬帆起航。　　唐烨在致辞中表示，零陵是一座有着两千多年历史的文明古城，也是全市的文化教育中心。近年来，全区依托厚重的文化底蕴和优良的教育基因，深入实施教育优先发展战略，以最强的领导、最大的投入、最优的政策、最好的服务，深入推进“四名工程”建设，各阶段教育均衡发展，公办民办教育齐头并进教育教学质量稳步提升，在全市率先通过全国义务教育发展基本均衡县区评估认定，“学在零陵”品牌初步形成，零陵教育的知名度、影响力不断提升，群众的获得感、满意度日益增强。同时，希望潇湘源学校办成“全市一流、全省领先、接轨国际”的示范性窗口学校、品牌化教育基地。　　据悉，永州潇湘源学校是经教育行政部门批准的、按省级示范性学校以上标准兴建的一所大型高端全日制寄宿制民办学校。学校占地面积540亩，研学基地3000亩，建筑面积30万平方米，总投资15亿元，学校设计规模239个教学班，可容纳中小学生近万人。
朔州市政府网,:【朔州2名老师入选全国优秀教师和全国优秀教育工作者拟表彰对象公示名单】经全国各省、自治区、直辖市教育厅(教委)、新疆生产建设兵团教育局、中央军委训练管理部院校局逐级推荐和评选，并经教育部评选审核，拟表彰全国优秀教师1433名和全国优秀教育工作者159名，朔州市第一中学校的李鸿祥和朔州市朔城区照什八庄中学的杨艳萍2名老师入选。
立早章zlp,:很惊讶，刷一下？眼泪还是涌出来了…世事难料，没有如果，只有结果，好伤感！你是我这一生见到最善良最老实最本分的人，此刻感慨万千，许多共事的美好真的只能留在记忆里了…人生从相识别离皆是缘聚缘散！我生命里永存的印记！周艳萍！一切发生太突然了！你息了世上的劳苦，脱去身上的肉体，离开了这险恶的人类，归回上帝那里去了！愿你在天堂好好安息吧！无法相融的世界里我会依然记得你！……
梓恒说营养,:今天晚上，应邀参加河南音乐广播魅力88.1花样美男阿木的“私人晚宴”—严厨老坛酸菜鱼。严厨老坛酸菜鱼业界黑马，凭独家秘技酸菜鱼，5年猛开300家店。酸菜，中国传统发酵食品，在日韩被称为泡菜，是每天必吃食物。鱼，是营养专家推荐的肉类食物之首，酸菜遇见鱼，在严厨，迸发出了蓬勃生机。很多人说不敢吃酸菜鱼，一是担心鱼里面氧氟沙星超标，二是担心腌菜亚硝酸盐超标。这些担心都是非常正常的，美味不能忽略食品安全。和严厨酸菜鱼中原区总监张艳萍沟通了解到，严厨老坛酸菜鱼的酸菜是老坛酸汤腌制，两天内食用，在安全食用期内。鱼，每天流通量很大，不需要依靠药物抗病，所以也不用担心有违规药物超标。我相信张总说的是对的，毕竟5年300家店，没有真材实料，是没有办法征服消费者的。
朔州新闻网,:【朔州2名老师入选全国优秀教师和全国优秀教育工作者拟表彰对象公示名单】8月23日，笔者从教育部网站获悉，根据《教育部办公厅关于做好2019年全国优秀教师和全国优秀教育工作者评选表彰的通知》(教人厅函〔2019〕9号)要求，经全国各省、自治区、直辖市教育厅(教委)、新疆生产建设兵团教育局、中央军委训练管理部院校局逐级推荐和评选，并经教育部评选审核，拟表彰全国优秀教师1433名和全国优秀教育工作者159名，朔州市第一中学校的李鸿祥和朔州市朔城区照什八庄中学的杨艳萍2名老师入选。
广州司法,:#广州司法#【便民服务】下周一（8月26日）法律援助大厅值班律师李贺亭，男，宏诚律师所，擅长于刑事、交通事故和债权债务；伍艳萍，女，许铭丞律师所，擅长于刑事、劳动争议、物权、交通事故；刘立明，男，通明律师所，擅长于婚姻家庭、劳动争议和人身损害等法律事务。咨询地址：广州市越秀区仓边路42号，广州市司法局法律援助大厅。欢迎广大市民前来咨询。
河口团县委,:2019年8月20日，由河口瑶族自治县县委办公室、县民政局、县投资促进局、共青团河口县委4家单位组织的福田公益“益路善行”关爱河口边境地区孤寡老人爱心捐赠活动在河口瑶族自治县敬老院顺利举行。本次活动由共青团河口县委书记韩智丞同志主持，河口瑶族自治县人民政府副县长龙艳同志，河口瑶族自治县县委办公室、县投资促进局、县民政局等各单位领导人员出席了本次捐赠活动。县委副县长龙艳同志以及本次活动捐赠方福田公司代表李艳萍女士均对本次活动进行了重要讲话。尊老敬老是我们中华民族的传统美德，是先辈们传承下来的宝贵精神财富。“福田公益”协会不仅为敬老院送来了价值11余万元的书包、洗衣液、护理床垫等生活用品，还给敬老院的老人们带来了一份关心、一份关爱、一份关怀。赠人玫瑰，手留余香，奉献爱心，收获希望，政府、社会爱心企业、爱心人士的关怀让老年朋友们感受到社会的温暖和关爱。此次爱心捐赠活动成功举行，改善了老人们的生活质量，让老人们感受到了来自社会的关爱，每位老人的脸上洋溢着灿烂的笑容。此次爱心活动，送来的是社会各界人士对老人的关心和温暖，进一步弘扬了关爱老人传统美德，树立了乐于奉献、尊老爱老的良好形象，也让小朋友知道要从小养成尊重老人、关心来人的良好品德@共青团中央@云南共青团@红河共青团
亳州发布,:【谯城区大寺闸管所职工救起轻生群众】#亳州县区#因与丈夫吵架想不开进而产生轻生念头，一女子在谯城区涡河大寺闸附近投河轻生，所幸这一幕被大寺闸管所值班人员看到，女子最终被救。近年来，大寺闸周边环境变得日益优美，经常有群众逗留、游玩。大寺闸日常巡查工作中，除了巡查工程安全运行情况以外，周边逗留人员安全也被列入巡查内容，树立禁止游泳、垂钓、水深危险等警示牌，严防溺水事件。By许艳萍李鹏邓书才
公益时报,:#收养100多名残疾儿童#【农妇30年收养百余弃婴，全部都姓国，因负担重无奈送走亲生儿】#支持收养弃婴的妈妈#山西吕梁孝义，作为政府寄养社会弃婴专职家庭，55岁的李艳萍从1989年至今共收养百余名残疾弃婴。因家境贫困，别人不愿领养残疾孩子，她无奈将亲生小儿子送人。她让孩子们都统一姓国，以此记住国家帮扶，学会感恩。@微公益@微博视频http://t.cn/EMAEdxc
