美东侨报,:#全国最新疫情地图#【#新冠肺炎#全国累计确诊80424例】截至3月3日20时31分，全国累计确诊病例80424例（昨日新增120），现有确诊27427例（新增-2572），疑似病例520例（新增143），现有重症6416例（新增-390），累计治愈病例50013例（新增2654），累计死亡病例2984例（新增38）。
鲁中网,:【4日0-12时：山东疫情情况通报】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。
青岛卫生健康,:2020年3月4日0时至12时青岛市新型冠状病毒肺炎疫情情况2020年3月4日0—12时，我市无新增新型冠状病毒肺炎确诊病例。截至3月4日12时，我市累计确诊60例新型冠状病毒肺炎病例（男性27人、女性33人），其中治愈出院58例，死亡1例，现有确诊病例1例（重症），在定点医院接受隔离治疗。累计已排除疑似病例304例，目前疑似病例为0。累计已解除医学观察719人，仍纳入医学观察的密切接触者3人，未发现异常。按病例确诊医院所在区市分布情况：市南区7例（已治愈出院6例，死亡1例）、市北区13例（已治愈出院12例）、李沧区6例(均已治愈出院)、崂山区4例(均已治愈出院)、城阳区2例(均已治愈出院)、黄岛区13例（均已治愈出院）、即墨区8例(均已治愈出院)、胶州市1例（已治愈出院）、平度市3例（均已治愈出院）、莱西市3例（均已治愈出院）。青岛市卫生健康委员会2020年3月4日
看见山东,:#山东新型肺炎疫情情况#【
海南经济频道,:【海南省新型冠状病毒肺炎疫情最新情况】3月3日0-24时，海南省报告新型冠状病毒肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例4例。新增出院病例中，海口市2例、三亚市1例、澄迈县1例。截至3月3日24时，海南省累计报告新型冠状病毒肺炎确诊病例168例，重症病例2例，死亡病例5例，出院病例155例。确诊病例中，海口市39例、三亚市54例、儋州市15例、文昌市3例，琼海市6例，东方市3例，万宁市13例、澄迈县9例、临高县6例、昌江县7例、陵水县4例、定安县3例、保亭县3例、乐东县2例、琼中县1例。截至3月3日24时，追踪到密切接触者6263人，已解除医学观察5985人，尚有278人正在接受集中医学观察。
水母网,:2020年3月4日0时至12时山东省新型冠状病毒肺炎疫情情况2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。http://t.cn/A67WiQen
青岛新闻网,:【2020年3月4日0时至12时山东省新型冠状病毒肺炎疫情情况】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。
青岛生活汇,:#青岛爆料#【3月4日0-12时，青岛无新增！累计确诊60例】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。http://t.cn/RDUBkfz
威海信息港官方微博,:【山东新增治愈出院4例】2020年3月4日0-12时，山东省无新冠肺炎疑似病例;无新增确诊病例，累计确诊病例758例(其中，重症病例6例，危重症病例2例，死亡病例6例);新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。
昆明信息港,:#加强疫情防控云南在行动#【3月4日0时至12时云南新增0例累计174例
大众日报,:【4日午报：山东无新增确诊及疑似病例，累计出院515例】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。（健康山东）
河南省文化和旅游厅官方微博,:【截至3月3日24时河南省新型冠状病毒肺炎疫情最新情况】2020年3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。(来源：河南省卫生健康委)
湛泸剑,:【截至3月4日12时，山东省无新增确诊病例】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。（山东省卫生健康委员会）
微观青岛,#青岛新型肺炎疫情播报#【3月3日12-24时，青岛无新增！累计确诊60例】2020年3月3日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；无新增治愈出院病例，累计治愈出院511例。截至目前，追踪到密切接触者16970人，尚有489人正在接受医学观察。#德国载有1200名乘客游轮检测结果出炉#
微博济南,【2020年3月4日0时至12时山东省新型冠状病毒肺炎疫情情况】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。（备注：根据要求，按病例确诊时医院所在县区统计。）http://t.cn/A67W5U4R详见下表（单位:例）：
齐鲁周刊,:【0新增确诊0疑似#山东无新增确诊病例#】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。备注：根据要求，按病例确诊时医院所在县区统计。
闪电新闻,:#山东新型冠状病毒肺炎最新消息##山东战疫#【3月4日0-12时山东无新增新冠肺炎确诊、疑似病例，累计确诊758例出院515例】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。
云报文旅,:#云南现有确诊病例3例##守护云南共抗疫情#【最新|截至3月4日12时，云南累计治愈出院169例，现有确诊病例3例】3月4日0时至12时，无新增确诊病例。截至3月4日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。原文链接：http://t.cn/A67Wtmb2
潍坊晚报,:#山东新型冠状病毒肺炎最新消息#【3月4日0-12时山东无新增新冠肺炎确诊、疑似病例】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。（健康山东）
FM1031济南交通广播,:#共同战疫#3月4日0-12时，山东无新增确诊病例2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。
生活日报,:#山东新闻#【
半岛都市报,:【4日0-12时，山东省无新冠肺炎疑似病例，无新增确诊病例】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。（备注：根据要求，按病例确诊时医院所在县区统计。）详见下表（单位:例）：
沂水县互联网信息办公室,:2020年3月3日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；无新增治愈出院病例，累计治愈出院511例。截至目前，追踪到密切接触者16970人，尚有489人正在接受医学观察。『临沂连续13天无新增！知了猴、蝎子以后都不能吃了？最新禁食名单来了！（呼吁转发）』http://t.cn/A67O6ESo
济南日报,:#山东疫情#【2020年3月4日0时至12时山东省新型冠状病毒肺炎疫情情况】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。详见下表（单位:例）备注：根据要求，按病例确诊时医院所在县区统计。
