我不做主你做主,:#韩国大邱一确诊者混入长队买口罩#确诊了不入院治疗吗？这是什么操作
929南通交通广播,:南通，“清零”！今天（3月3日）上午，随着最后3名新冠肺炎确诊患者从南通市第三人民医院治愈出院，我市40名确诊的新冠肺炎患者实现动态清零。今天出院的三名患者中，73岁的袁女士年龄最大，是海门人，与其丈夫的妹妹（为新冠肺炎确诊患者）接触后被感染，2月10日收治入院；另一名患者陈先生，53岁，通州张芝山人，与武汉返通人员有接触史，2月12日收治入院；还有58岁的患者沈先生，海安人，与武汉返通人员有接触史，1月31日收治入院。其中，袁女士也是市三院收治的所有确诊患者中年龄最大、病情较重的患者。作为南通市抗击新冠肺炎疫情的主战场，自春节前夕，南通市第三人民医院收治全市首名新冠肺炎确诊患者至今，在一个多月的抗疫战斗中，27名确诊患者在这里得到完善的治疗，实现“患者零死亡、医务工作者零感染”的喜人目标。确诊患者动态清零并不意味着疫情结束！记者从市三院了解到，该院隔离病区还将继续保留，随时准备接受新增的确诊患者。此外，隔离病区的医护人员将有序轮休，并做好随时待命的准备。
一颗小鲁ho,各位网友：老爷子虽经全力救治仍于2月28日中午在光谷同济医院离世。
从菏而来,:#战疫你最美#【菏泽市最后1例新冠肺炎确诊患者治愈出院18例已全部治愈出院
南通发布,:【南通，“清零”！】今天（3月3日）上午，随着最后3名新冠肺炎确诊患者从南通市第三人民医院治愈出院，我市40名确诊的新冠肺炎患者实现动态清零。今天出院的三名患者中，73岁的袁女士年龄最大，是海门人，与其丈夫的妹妹（为新冠肺炎确诊患者）接触后被感染，2月10日收治入院；另一名患者陈先生，53岁，通州张芝山人，与武汉返通人员有接触史，2月12日收治入院；还有58岁的患者沈先生，海安人，与武汉返通人员有接触史，1月31日收治入院。其中，袁女士也是市三院收治的所有确诊患者中年龄最大、病情较重的患者。作为南通市抗击新冠肺炎疫情的主战场，自春节前夕，南通市第三人民医院收治全市首名新冠肺炎确诊患者至今，在一个多月的抗疫战斗中，27名确诊患者在这里得到完善的治疗，实现“患者零死亡、医务工作者零感染”的喜人目标。确诊患者动态清零并不意味着疫情结束！记者从市三院了解到，该院隔离病区还将继续保留，随时准备接受新增的确诊患者。此外，隔离病区的医护人员将有序轮休，并做好随时待命的准备。
中国新闻社,:#中新视频•香港故事#【香港“正义姐”蓝雪宝：愿年轻人都能扩阔眼界走上正路】21日，有“正义姐”之称的香港教师蓝雪宝，在香港铜锣湾附近被十多名暴徒围殴至头破血流，入院缝针。记者近日在蓝雪宝的家中见到正在养伤的她，受伤已接近十日，但她面部、头部的伤痕依然清晰可见。蓝雪宝表示，希望香港的年轻人不要再被别有用心的政客利用，如果殴打她的人能够觉醒，作为老师的自己愿意原谅他们。（记者李雨齐胡定轩）http://t.cn/A679qeVu@中新视频
大愚弱智不蠕动山,【武汉送药人：义务送药被人举报“赚差价”警方介入调查后澄清】近日，有人以非法售药和牟利举报了义务送药人吴悠@海边的万物理论。警方经过核实之后，并未发现吴悠有高价售药、赚取差价的嫌疑。唯一有问题的就是吴悠不具备医师资质，不能以个人名义售卖药物。因此，吴悠和捐赠方达成口头协议，只要求助者有确诊病例或医生建议、处方，往后所有药物一律免费发放。武汉“封城”后，25岁的中学老师吴悠骑上电瓶车为网上的求助者义务送药，和朋友们已为600多户求助者送去药品和防护物资。刚开始，连花清瘟、口罩、酒精等防护物资都是免费送，阿比多尔、莫西沙星等四种药低于市场价出售。在配合调查时，吴悠奶奶因脑溢血昏迷，被送进医院。“当时义务送药就是希望能推动疫情早日结束，这样奶奶就能早点住进医院，不会患上老年痴呆，不会忘记我。”#武汉义务送药人被举报##武汉义务送药人被举报赚差价#http://t.cn/A67yV0xQ
无锡博报,:【#韩国大邱建方舱医院#：为中轻症病患集中隔离，首座可收160人
广西反邪教,:【#韩国大邱建方舱医院#：为中轻症病患集中隔离，首座可收160人
岳阳的那点事,:【刚刚，岳阳又有两名确诊患者康复出院！其中一名为停靠武汉9011次列车长】3月3日上午9点，岳阳市一医院南院又有2名新冠肺炎确诊患者治愈出院。其中一名是曾停靠武汉9011次列车长龚某，他因长期接触来自武汉的乘客被感染新冠肺炎。龚某家住岳阳楼区一小区，今年56岁了，他是1月26日入院，有武汉旅居史。列车长接受岳阳日报全媒体记者采访时几度哽咽，他说太难了，刚来时鼻子和嘴都喷血，是医师把他抢救过来了，他当时只有一个信念，自己一定要活下来。他住了36天院，医师护士无微不至地关心他，单位的人员也打电话问候他，给了他信心和勇气。由于他身上还有其它病，他出院后还将去该院普内科继续康复巩固治疗。戴某某，今年68岁，她是2月15日入院，她对医护人员非常感激。截至岳阳日报全媒体记者发稿时止，全市共126名确诊患者康复出院。
好大一颗hzt-ao,【#浙江新增7例均为意大利输入病例#，均为丽水报告】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。其中：新增出院病例中，杭州市5例、宁波市2例、温州市9例、湖州市1例、绍兴市1例、金华市2例、舟山市2例、台州市4例、省十里丰监狱10例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市10例、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市5例、嘉兴市1例、省十里丰监狱1例；死亡病例中，温州市1例；出院病例中，杭州市170例（其中划归外省病例12例）、宁波市151例、温州市456例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市112例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41130人，当日解除医学观察118人，尚有580人正在接受医学观察。
同学少年都不贱__,我发表了头条文章:《武汉肺炎患者求助》武汉肺炎患者求助
西昌发布V,:国务院联防联控机制于2日下午召开新闻发布会，介绍现阶段公共场所等疫情防控有关情况。公共出行：打车前可先开门一两分钟通风商场、超市：要保持一定的距离，起码一米以上托幼机构：要对全体教职员工及孩子们的健康状况进行摸底精神卫生医疗机构：新入院患者要观察14天后再转入普通病室http://t.cn/A679vVbK
攀枝花日报,:【#韩国大邱建方舱医院#：为中轻症病患集中隔离，首座可收160人
股迷老夏,:#血透中心疫情防控风险问题#：#武汉战疫#2月27日湖北省人民医院血透中心要求所有肺部感染的尿毒症透析患者住院观察，否则不给透析，病人集中住在泰康楼4楼，6人间和3人间。还有部分陪护家属，没有单独隔离病房，入院第二天核酸检测发现2人阳性，确诊新冠肺炎。多人吃住在一起，一人感染，其他人也很容易被感染！昨天又发现有人发热，同病房的病人非常惶恐，截止今天医院仍未将剩下住院病人安排单独隔离病房，还陆续有病人住进来，病人非常担心交叉感染。尿毒症病人免疫力非常低，属于易感染人群，这种集中隔离方式非常不科学，不利于疫情防控，住院观察者应该单独隔离，防治交叉感染，防止疫情扩散，感谢！@财经网@财经评论@财联社APP@人民日报@央视新闻@方方@微博媒体@湖北日报@楚天都市报@环球时报
衡阳县旅游,:#衡阳身边事#好消息！衡阳48例确诊患者全部治愈出院3月2日下午，衡阳市又有2例新冠肺炎患者经过医护人员的精心治疗走出隔离病区，从南华大学附属南华医院出院。截至目前，衡阳市48例确诊患者全部治愈出院。据了解，此次出院的2名患者均为男性，入院后经过周密治疗，两次核酸检测均为阴性，符合出院标准。出院病人基本信息如下：病例45：毛某某，男，35岁，衡东县人。2月8日确诊为新冠肺炎。经治疗，于3月2日治愈出院。病例47：张某某，男，52岁，祁东县人。2月14日确诊为新冠肺炎。经治疗，于3月2日治愈出院。
起名刘博闻,#武汉义务送药人被举报#【武汉送药人：义务送药被人举报“赚差价”，配合调查期间奶奶脑出血昏迷入院】武汉“封城”后，25岁的中学老师吴悠@海边的万物理论，骑上电瓶车为网上的求助者义务送药。截至目前，吴悠和朋友们已经为600多户求助者送去药品和防护物资。刚开始，连花清瘟、口罩、酒精等防护物资都是免费送，阿比多尔、莫西沙星等四种药低于市场价出售。近日，有人以非法售药和牟利举报了吴悠。在配合调查时，吴悠奶奶因脑溢血昏迷，被送进医院。“当时义务送药就是希望能推动疫情早日结束，这样奶奶就能早点住进医院，不会患上老年痴呆，不会忘记我。”#武汉义务送药人被举报赚差价#http://t.cn/A67yV0xQ
攀枝花日报,:【#韩国大邱建方舱医院#：为中轻症病患集中隔离，首座可收160人
股迷老夏,:#血透中心疫情防控风险问题#：#武汉战疫#2月27日湖北省人民医院血透中心要求所有肺部感染的尿毒症透析患者住院观察，否则不给透析，病人集中住在泰康楼4楼，6人间和3人间。还有部分陪护家属，没有单独隔离病房，入院第二天核酸检测发现2人阳性，确诊新冠肺炎。多人吃住在一起，一人感染，其他人也很容易被感染！昨天又发现有人发热，同病房的病人非常惶恐，截止今天医院仍未将剩下住院病人安排单独隔离病房，还陆续有病人住进来，病人非常担心交叉感染。尿毒症病人免疫力非常低，属于易感染人群，这种集中隔离方式非常不科学，不利于疫情防控，住院观察者应该单独隔离，防治交叉感染，防止疫情扩散，感谢！@财经网@财经评论@财联社APP@人民日报@央视新闻@方方@微博媒体@湖北日报@楚天都市报@环球时报
衡阳县旅游,:#衡阳身边事#好消息！衡阳48例确诊患者全部治愈出院3月2日下午，衡阳市又有2例新冠肺炎患者经过医护人员的精心治疗走出隔离病区，从南华大学附属南华医院出院。截至目前，衡阳市48例确诊患者全部治愈出院。据了解，此次出院的2名患者均为男性，入院后经过周密治疗，两次核酸检测均为阴性，符合出院标准。出院病人基本信息如下：病例45：毛某某，男，35岁，衡东县人。2月8日确诊为新冠肺炎。经治疗，于3月2日治愈出院。病例47：张某某，男，52岁，祁东县人。2月14日确诊为新冠肺炎。经治疗，于3月2日治愈出院。
起名刘博闻,#武汉义务送药人被举报#【武汉送药人：义务送药被人举报“赚差价”，配合调查期间奶奶脑出血昏迷入院】武汉“封城”后，25岁的中学老师吴悠@海边的万物理论，骑上电瓶车为网上的求助者义务送药。截至目前，吴悠和朋友们已经为600多户求助者送去药品和防护物资。刚开始，连花清瘟、口罩、酒精等防护物资都是免费送，阿比多尔、莫西沙星等四种药低于市场价出售。近日，有人以非法售药和牟利举报了吴悠。在配合调查时，吴悠奶奶因脑溢血昏迷，被送进医院。“当时义务送药就是希望能推动疫情早日结束，这样奶奶就能早点住进医院，不会患上老年痴呆，不会忘记我。”#武汉义务送药人被举报赚差价#http://t.cn/A67yV0xQ
翁瑋盈,:本來預計這幾天開始紮肚（肚鬆拋拋），但是因為爸爸癌症復發的關係，我還是跟紮肚姐姐說我想延期，以便配合家人，湊黃啦啦及工作的時間。結果，紮肚姐姐不但沒有怪我改期，第二天還果斷說要送我爸爸30個最安全的口罩給他入院期間用，因為醫院真的不安全...。很快她便把口罩車去我媽媽家。我們一次都沒見過面，只通過幾次訊息...她便對我那麼好...🥺謝謝Kendy！@劤古法紮肚服務另外，昨天知道爸爸的手術期已經有了，本星期五，早做早康復，一定得架！👊🏻
利州青年,:【#韩国大邱建方舱医院#：为中轻症病患集中隔离，首座可收160人
额是阿巴斯,:关键时刻才看人的本质，做为主管部门应该明白自己的职责，这位曲某某携带病毒原体，从2月15日至24日陆续出现咽痛、腹痛腹泻等症状，先后到灌水镇东岔村东升诊所、灌水镇车轱辘泡村诊所、宽甸县中医院及灌水镇卫生院就诊过。2月24日9时前往宽甸县中心医院入院就诊，医院对其进行隔离治疗，2月29日确诊为新冠肺炎。而主管们却没能在半月前掌握这些情况，在这非常时期算是失职、算是不做为，应该追究其责任。#跟新浪看热点#http://t.cn/A67S4tEq
欧美游戏是大粪,:让我们没有时间体会痛苦……让我们真实的感受生活；让我们真切的理解人生！不如用微笑去面对生活。与其逃避现实，却遭遇到一桩桩恐怖事件！【笔仙III】患病入院的丽娜因为惦念自己的女儿小艾从医院逃出、奔波是一种快乐、世事沉浮。常州·何家村
K·Dear楚希,【#韩国版“火神山医院”在大邱开建#！超2000人正在等待入院】截止3月2日16时，韩国新冠肺炎患者累计确诊4335人，大邱确诊人数超过3000人。由于医疗资源不足，大邱现有超过2000名确诊患者只能在家隔离，等候入院治疗。韩国政府在劳动福利公团大邱医院安置了45个集装箱，集中收治患者。韩国政府还表示，在3月5日前还将在大邱增设1000多个病床。http://t.cn/A67SI5ea
竹君-賢安學社,:天津又有两例已出院患者"复阳"两人再次入院观察天津又有两例已出院患者"复阳"两人再次入院观察
龙阳村居民,【#药学教授评价李跃华苯酚疗法#：治愈的病例可能只是幸存者偏差】近日，#自称治愈副厅长新冠肺炎医生被查#。据悉，李跃华申请专利的“一种穴位注射剂”，其实注射进穴位的是苯酚。武大教授丁虹认为，苯酚可用于治疗顽固性疼痛，但会损毁神经。“新冠病毒感染的主要靶器官是肺，用苯酚治疗，理论上无法解释，有效性无法得到证实。从药学专业来看，李跃华治疗的15人连临床试验标准都未达到，也可能对有些人有效，但也可能只是无毒，“也许他本身就能好，是自愈的一种情况，我们叫做幸存者偏差。”丁虹说，医生想治病救人的心情是值得尊重的，但绝对不能拿患者当小白鼠。http://t.cn/A67oOWiphttp://t.cn/A67CMxFG
朝比奈弥久月,我发表了头条文章:《武汉肺炎患者求助》武汉肺炎患者求助
哦嗯呢知道了,我发表了头条文章:《武汉肺炎患者求助》武汉肺炎患者求助
cinekino,我发表了头条文章:《武汉肺炎患者求助》武汉肺炎患者求助
朝比奈弥久月,我发表了头条文章:《武汉肺炎患者求助》武汉肺炎患者求助
哦嗯呢知道了,我发表了头条文章:《武汉肺炎患者求助》武汉肺炎患者求助
cinekino,我发表了头条文章:《武汉肺炎患者求助》武汉肺炎患者求助
剪羊毛君扫文推文怼文,不要过度渲染新冠肺炎的无发热症状。事实上根据柳叶刀最新的报告（Clinicalfeaturesofpatientsinfectedwith2019novelcoronavirusinWuhan，China）、症状比例如下：发热：98%。咳嗽：76%。肌肉痛&乏力：44%。痰多：28%。头痛：8%。血痰：5%。腹泻：3%。呼吸困难：55%。说明什么？发热还是绝大多数、不应该把个案当作一般情况去恐慌。如果总是关注于极个别案例、会比较容易自导自演进入生化危机剧情。其他频率高的症状从咳嗽到头痛都很合理自然。当然呼吸困难的解读要注意、因为都是发生肺炎的住院病例、所以比例高、把轻症阶段包括进来的话比例可能大幅低降低、所以不能简单解读为一半人以上都呼吸困难so如果你呼吸不困难你就可以安心过年、No。
东楚网黄石新闻网,:【坐车、买菜、就餐怎样才安全？收好这份防疫指南！】国务院联防联控机制于2日下午召开新闻发布会，介绍现阶段公共场所等疫情防控有关情况。公共出行：打车前可先开门一两分钟通风中国疾控中心研究员张流波：出租车、网约车要做好五个方面的工作：第一、确保司机没有感染，可以建立一个健康申报制度，进行体温检测，也要注意司机在全程都要戴口罩，经常做手卫生，这是对司机的基本要求。第二、车辆应该每天出车前对门把手、座位、扶手这些地方做清洁消毒的处理。第三、行驶过程中如果条件允许，外面温度合适的时候尽量开窗，保证比较好的空气交流。第四、乘客上车前先打开门一两分钟让它有一个空气交换的机会，也可以用消毒纸巾对可能碰到的位置做擦试消毒，最关键是乘客乘坐的时候也要全程戴口罩，乘坐结束后也要做手卫生。第五、付费时提倡无接触式的付费。对于乘坐公交车有四个方面要特别注意：第一、公交公司应根据客流量安排车辆，尽量疏散客流、降低车厢拥挤度。第二、条件允许时，行驶过程中尽量开窗通风，如果有空调系统，要在保证安全情况下尽量地增加消毒频次。第三、乘客、乘务员、司机都应该佩戴口罩。第四、乘客在乘坐时尽量保持一定距离。乘客下车以后最好做手卫生。商场、超市：要保持一定的距离，起码一米以上张流波：因为商场、超市和我们老百姓的日常生活密切相关，所以我觉得不是能不能营业，是必须营业。我们到这些地方去，应该是买东西而不是逛商店。第一、对于电梯、地面、侧壁、电梯按钮、自动扶梯，这些地方顾客经常接触的地方要增加清洁消毒频次。对于柜台也要经常清洁消毒。第二、对于中央空调，因为超市是比较大的环境，不管是全空气系统，还是风机盘管+新风系统，都要尽量采用全新风。如果不能实现全新风，也一定要开启最大新风。开启最大新风可能还不够，这时候开门开窗通风作为补充是有必要的。第三、对服务员应该建立健康申报制度和体温检测制度，及时发现可疑症状，对顾客进行体温监测，尽早识别可疑的可能感染者。第四、在购物时相互之间要保持一定的距离，起码一米以上，哪怕过秤、交款、排队的时候也要保持一米以上距离。第五、交款时最好电子付费。第六、人人都应该戴口罩，不管是顾客还是服务员，做好手卫生。第七、如果真是发现了可疑病例，要及时地联系当地疾控预防控制机构，在指导下进行综合消毒处理。中国疾控中心环境所所长施小明提醒：购物时间应尽量避开商场、超市的客流高峰期，比如选择非周末时间或者是早晨刚营业的时候，这样减少与其他人接触的机会。其次乘坐电梯时，如果是到楼层比较低的地方购物，推荐走楼梯。如果到楼层比较高的地方购物，建议优先使用扶梯。如果必须乘坐厢式电梯，电梯人多的时候可以等候下一趟电梯。乘坐电梯时要佩戴口罩，而且与其他人员保持一定的安全距离。托幼机构：要对全体教职员工及孩子们的健康状况进行摸底张流波：托幼机构应该从三个方面开展相关工作：第一、开园前对幼儿园进行彻底的清洁和消毒，保证教室的通风，做好相关物资的储备，让幼儿园的老师掌握防控知识。要对全体教职员工及孩子们的健康状况进行摸底，只有健康的才能入园。第二、开园后，如果疫情结束了，开园时可以按照正常教学秩序进行，如果还有病例就一定要采取相应预防措施，要做好应急预案。第三、当出现疑似病例时，一定要按照应急预案进行处理。精神卫生医疗机构：新入院患者要观察14天后再转入普通病室施小明：精神卫生医疗机构由于患者的特殊性，在防控工作中除了要做好常规医疗机构的防控措施外，还有一些针对性的措施需要考虑：第一、精神卫生医疗机构要与当地具有新冠肺炎诊疗能力的综合性医疗机构建立联络会诊机制，要加强医务人员防控知识的培训，健康监测以及个人的防护，尽量减少门诊患者复诊次数，缩短住院的时间，暂停家属探视，限制陪诊人员数量。新入院的精神障碍患者要观察14天后再转入普通病室，防止院外的输入。第二、加强住院患者特别是严重精神障碍患者的管理治疗和照护，尽量减少外出流动，降低冲动行为发生的风险，防止院内扩散。第三、对住院的严重精神障碍患者，发现有疑似病例或者确诊新冠肺炎的应当立即采取隔离措施，将患者转诊到定点的医疗机构进行治疗。对于暂时无法转出到定点医院的确诊患者，精神卫生医疗机构应当立即设置发热病区，请具有新冠肺炎诊疗能力的综合医院的医疗机构医务人员进行会诊。此外，发布会上还介绍了其他重点或特殊场所的防疫情况。1.国家卫生健康委疾控局副局长周宇辉：有人员需要从疫情防控的重点地区和高风险地区返城的，社区应按照社区防控工作方案，继续坚持实施网格化和地毯式的管理，做好往来人员相关的健康监测、登记以及摸排等相关工作。2.施小明：新冠肺炎老人治愈后需返回养老机构的应当隔离观察14天，没有异常后方可入住。对于没有病例的养老机构，无论是老人还是陪同人员，在医疗机构就诊返回到养老机构后，都需要隔离观察14天，没有异常后，方可入住或者工作。餐厅就餐安全是整个疫情防控中的一个关键环节。要加强环境物体表面清洁消毒，做好餐饮具的清洁消毒，确保做到一人一具、一用一消毒。用餐过程中，摘下口罩时一定要注意保持口罩内侧的清洁，避免污染。避免面对面就坐，最好是同向坐，而且相隔距离最好一米以上。尽量缩短就餐时间，减少同行人员的交流。如果餐厅人员比较多，打包是比较好的选择。就餐后，要立刻离开餐厅，减少在餐厅的逗留时间。3.张流波：疫情期间不建议到游泳馆、公共浴室这些地方去，不建议开放游泳馆和公共浴室。
A_galex,【那个深夜发微博求助的武汉老人走了……
爱蹬宝,【#韩国大邱建方舱医院#：为中轻症病患集中隔离，首座可收160人
这个杀手是里昂,:父亲入院的第六天，像往常一样带他上过厕所后，服他上床后，父亲说你把手里的表给我，我问什么表？他说我都看见了，里边有一项是安乐死，我同意了，此生就这样了。表是他梦里看见的吧，是自己放弃了嘛，我决定一会医生查房的时候一起和医生骗他一下，给他坚持治疗的勇气。
十月的小小鲸,2.5发出一句“你好”2.28说不出一句“再见”
独行骑士·Lwf,:天津又有2例已出院患者复查阳性两人再次入院观察http://t.cn/A67odgmz
Leilei和CC,#对外国和本国公民无差别执行措施#我看了这场发布会，按我们老百姓理解，就两个意思。一是来华后享受国民待遇封闭14天，二是若入院中方全包，除了医药护理费还有每天150元的伙食费，近日方舱医院三个病患痛风发作改为其他治疗了，原因是吃的大虾太多
老记宋军,:#韩国连续4名居家隔离患者死亡#居家隔离不行，必须入院治疗。南京
Zhao花夕不拾,:病人翻了一倍手术每天至少四台十来个新病人入院上班人数跟疫情期间一样不变夜班取消帮班以后不重新设置还要每天多测陪客的体温然后多余的护士不让她们来上班每周都在不停的欠休
vivi美,:以为14周已经妥妥当当了，当经历肚子痛出血量多时，入院期间的医生说的各种可能性我害怕了，保佑我足月顺利生产
