我的身体已经菠萝菠萝哒,http://t.cn/A67qod6l大家记得一定要填法米通六周年调查问卷啊
重庆晨报,:【重庆又有19例确诊患者治愈出院目前共有469例出院】好消息！重庆又有19例确诊患者于3月2日治愈出院。其中，万州区9例、江北区1例、沙坪坝区2例、九龙坡区1例、南岸区1例、长寿区1例、合川区1例、潼南区1例、丰都县1例、云阳县1例。目前，全市共有469名新冠肺炎患者治愈出院。重庆又有19例确诊患者治愈出院目前共有469例出院
小飞象要带着花飞得更高,【寻艺指数】3月2日#艺人新媒体指数#(综艺嘉宾)Top20榜单：#华晨宇#，#王一博#，#肖战#，排名前3位，#易烊千玺#，#迪丽热巴#，#宋茜#，分列4、5、6位。
阿至律师,:看起来国外对此疫情的态度都是自愈去吧！百分之八十都能自愈？我怀疑
zoeyu19,【寻艺指数】3月2日#艺人新媒体指数#(综艺嘉宾)Top20榜单：#华晨宇#，#王一博#，#肖战#，排名前3位，#易烊千玺#，#迪丽热巴#，#宋茜#，分列4、5、6位。
FM99香格里拉之声,:【历经40天磨难！武汉#金银潭医院副院长康复重返一线#】2日，武汉市金银潭医院副院长黄朝林返回医院战“疫”一线上班。1月22日，黄朝林因感染新冠肺炎接受隔离治疗，历经40天磨难，他治愈康复，各项体征指标达到健康标准。2日，他重返一线，了解和分析病区患者情况。（长江日报）http://t.cn/A67avshh
范新兰医疗纠纷律师,:发表了博文《患者受到医疗损害后，需要“专门陪护”的，相关费用能否得到赔偿？》患者受到医疗损害后，需要“专门陪护”的，相关费用能否得到赔偿？实践中，医疗纠纷律师认为可分为两种不同的情况，一是患者在医疗机患者受到医疗损害后，需要“专门陪护”的，相关费用能否得到赔偿？
星星是海里的小石头,悲惨世界，人间惨剧。字字泣血，句句含泪……
临沂河东融媒,:战“疫”日记|我最想看到更多的患者康复出院与家人团聚我最想看到更多的患者康复出院与家人团聚
白兔酱李大人,:#医患关系#早查房，忙完坐办公室发了会儿呆，别人的患者来开碘海醇，我看他主治不在就替他开了。患者问我早上他主治给开的药怎么还没拿到，我解释说我们护士有固定的取药时间，她那个药不是急用药，所以要等到中午才能拿到。患者发飙了，说她花钱了，为什么没有被服务。原话：“我想开什么就开什么，我花钱了的，你们就应该第一时间给我送来，哪有那么多规定，在你们这我就是上帝，我不住院你们哪来的工资！”我又一顿解释，患者走了。我合计，你住不住院我们也照常发工资，你以后千万别生病了别来给我们添堵，祝你幸福安康！啧，幸亏不是我患者。
华夏文化传播网,:【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。http://t.cn/A67KTKaw
海之声听力茂名验配中心,:发表了博文《耳鸣戴超隐形助听器有用吗？》我们都知道，耳鸣是治不好的，只有缓解的作用，耳鸣是耳聋的先兆，而助听器对耳鸣具有掩蔽的作用。一些耳鸣患者同时有听力下降，助听器会对他们两方面都有帮助。助听器还会耳鸣戴超隐形助听器有用吗？
阳光妈咪,悲惨世界，人间惨剧。字字泣血，句句含泪……
人民前线,:【把“主任”“教授”写在防护服上，火神山军医的不谦虚让人放心
上思县委政法委,#战“疫”情我在做##微感动#【#隔离病房奶奶只吃剩饭的原因#：我要给国家省点粮食护士小姐姐泪目
人民日报传媒海南,:【#我家7人在一线#】疫情发生后，武汉市民汤毅有7位家人投身战疫一线：学医的老婆，疫情一发生就主动上了前线；护士表妹杨思思，主动请缨到了重症监护病房；在120工作的表妹徐赛群，一天要接送患者20多趟……汤毅也没闲着，他购买防护物资给医护人员，用这样的方式守护亲人。加油！#共同战疫#，期待你们早日团聚！（央视新闻）（ZMM）http://t.cn/A676BnWg
腾讯新闻,:【新冠肺炎危重患者救治视频曝光：9名医护为插满管的患者翻身】广东东莞市人民医院ICU护士韩淑芬，用视频记录疫情期间在重症病房的工作。她记录了救治新冠肺炎危重症患者的过程：9名身穿严密防护服的医护为患者进行俯卧位通气治疗，一起用力将插满管子的患者从仰卧转为俯卧。新冠肺炎危重患者救治视频曝光：9名医护为插满管的患者翻身
海外疫情播报,:#韩国疫情##韩国大邱建方舱医院#3月2日，韩国总理丁世均称韩国政府已"根本性"调整了新冠肺炎病人的治疗体系，征用公共设施为中轻症患者提供集中隔离的"生活治疗中心"，当日，大邱1号生活治疗中心将从1662名待入院病人中收治160名轻症确诊者。
黄快乐yu,【寻艺指数】3月2日#艺人新媒体指数#(综艺嘉宾)Top20榜单：#华晨宇#，#王一博#，#肖战#，排名前3位，#易烊千玺#，#迪丽热巴#，#宋茜#，分列4、5、6位。
Xiao战甜甜,悲惨世界，人间惨剧。字字泣血，句句含泪……
济宁任城检察,:【疫情期间，#常见病患者网上复诊医保可报销#】国家医保局、国家卫生健康委日前联合印发指导意见，明确常见病、慢性病患者在互联网医疗机构复诊可依规进行医保报销。《意见》明确，对符合要求的互联网医疗机构为参保人提供的常见病、慢性病线上复诊服务，各地可依规纳入医保基金支付范围。互联网医疗机构为参保人在线开具电子处方，线下采取多种方式灵活配药，参保人可享受医保支付待遇。医保部门加强与互联网医疗机构等的协作，诊疗费和药费医保负担部分在线直接结算，参保人如同在实体医院刷卡购药一样，仅需负担自付部分。为防止出现虚构医疗服务等违规行为，《意见》还要求落实线上实名制就医和处方审核等措施，确保医保基金安全。
健康中国,:发布了头条文章：《【抗疫在基层】新冠肺炎治愈出院患者怎么管？》【抗疫在基层】新冠肺炎治愈出院患者怎么管？
羽珊-YiBo,#新冠肺炎患者的肺和SARS患者的区别#字都认识，连在一起就不认识了，反正都挺要命就对了
YYXfoRever,悲惨世界，人间惨剧。字字泣血，句句含泪……
风中凌乱的狸子_风狸,悲惨世界，人间惨剧。字字泣血，句句含泪……
昆仑山上一棵草65,【挽救重症患者后，医护人员集体唱起了这首歌……】3月1日下午，西安交通大学第一附属医院援鄂国家医疗队，跑赢时间对一名危重症患者进行了ECMO联合CRRT治疗，挽救了患者生命。晚上9点，20余名医护人员在回酒店的通勤车上集体唱起了《我和我的祖国》。#疫情中可爱的人#@长江日报长江日报的微博视频
郑州晚报,:【#浙江新增7例意大利输入病例情况公布#：均与浙江首例境外输入病例在意大利同一餐厅工作】2日，#浙江新增7例新冠肺炎均为输入病例#。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。央视新闻
ChittyStyle,【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。http://t.cn/A67KTKaw
万事_胜意_未来可期,:#纽约首例患者未在医院治疗#不听不看不诊不报就是没有，好的吧，你们开心就好
徽州反邪教,:【#辽宁省新增3例确诊均为丹东病例#，累计125例】#新冠肺炎最新动态#据辽宁省卫健委，3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。#对2月12日后境外入丹东人员核酸检测#@人民网http://t.cn/A67K1P5x
开封市场监管,:【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。http://t.cn/A679LYRb来源：中国消费者报
怪脾气的懒猪穷鬼娇气包,武汉武昌方舱b区，完成使命实现关舱[加油][加油]混沌与概率1997的微博视频
大耳朵图图的mama,#新冠肺炎患者的肺和SARS患者的区别#里面每个字我都懂，连起来就看不懂了
萌太太呀,:#辽宁新增3例确诊均为丹东病例#真的是三例啊！而且跟韩国日本没关系，是境内患者啊！希望患者行程和感染途径赶快公布一下，现在人员已经大幅度流动了，对了，现在感染新冠病毒治疗的费用是自费还是免费啊？
月沢凌桜,【寻艺指数】3月2日#艺人新媒体指数#(综艺嘉宾)Top20榜单：#华晨宇#，#王一博#，#肖战#，排名前3位，#易烊千玺#，#迪丽热巴#，#宋茜#，分列4、5、6位。
剑仙紫胤,:【疫情动态】硚口方舱医院34名患者治愈出院76名患者转至定点医院http://t.cn/A67K81mk
_liThiUmmm_,【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。http://t.cn/A67KTKaw
那朵梦中的白莲,:每天108遍《大悲咒》，回向全世界所有罹患新冠肺炎的患者、所有战斗在第一线的医护人员、所有为我们生活提供便利的服务人员！祈愿疫情早日结束！祈愿人类从此止恶向善，断除肆意杀生的罪业！行善积德！知足少欲！少食肉，多食素！少吃一份肉，便少一份杀业，这世上也就少一次刀兵和瘟疫等难！祈愿世界平安，国泰民安，人类与大自然、与动物们和谐共处，同获祥和与安乐！🙏🙏🙏附:〈大悲咒〉易背诵卡（附：念诵仪规）http://t.cn/A679ICYi
_liThiUmmm_,【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。http://t.cn/A67KTKaw
那朵梦中的白莲,:每天108遍《大悲咒》，回向全世界所有罹患新冠肺炎的患者、所有战斗在第一线的医护人员、所有为我们生活提供便利的服务人员！祈愿疫情早日结束！祈愿人类从此止恶向善，断除肆意杀生的罪业！行善积德！知足少欲！少食肉，多食素！少吃一份肉，便少一份杀业，这世上也就少一次刀兵和瘟疫等难！祈愿世界平安，国泰民安，人类与大自然、与动物们和谐共处，同获祥和与安乐！🙏🙏🙏附:〈大悲咒〉易背诵卡（附：念诵仪规）http://t.cn/A679ICYi
Rua也学问·,:可能有很多人都在忍受这种情绪的折磨，总是抑郁不仅会导致患者无精打采，而且还会出现食欲下降，做任何事情都没有兴趣这样的表现出现，经常觉得抑郁的人还容易走上自杀的道路，为此一旦这种总是觉得心里抑郁的情绪一旦出现，患者就应该积极进行调节，下面为大家介绍具体的做法。总是觉得心里抑郁的人可以运用以下方法进行调节：宣泄法：把自己的感情出口放宽，莫使心胸像个瓶颈，对待现实中出现的不公平的有意见的甚至令人气愤的事情，总是觉得心里抑郁怎么办?总是觉得心里抑郁可以采取说出来以消怒气或是把怒气转移到某种物品上对其摔打、发泄一番的方式，这其中包括释放、转移等办法。关怀法：向亲人朋友倾吐内心苦闷，放下包袱消除紧张心理，学会减压。治疗抑郁症应以心理治疗为主，人们应该用亲切和同情的态度鼓励病人倒出内心的郁闷，给予指导和帮助，使患者能适应环境、取得社会支持。http://t.cn/A67o3TvC
胃肠肿瘤宗医生,:之前说过新冠肺炎患者出院后有检测返阳情况，所以即使过了出院观察期仍然有可能带病毒，成为潜在传染源。再加上一些病人没有症状，核酸检测也是阴性，这些人没有采取措施治疗（其实现在没有特效药，治疗也是大部分靠自身免疫系统），也是另一个潜在传染源。但可以肯定的是，因为没有症状，就不会有打喷嚏咳嗽等剧烈排出病毒的过程，传染性很低。但不能排除通过唾液鼻涕等分泌物接触传播可能，所以今后一段时间，大家一定注意手卫生，这可能比戴口罩更重要了。#武汉加油##咱们一定可以克服这场疫情##深圳新增由英国途经香港输入病例#http://t.cn/z8U4gg6
上海发布,:【累计出院294人，上海今天又有2例确诊病例痊愈出院】#最新#市卫生健康委今日（3日）通报：2例新型冠状病毒肺炎病例，经定点医疗机构医护人员精心诊治和护理，专家组评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例解除隔离和出院标准，于今日出院。详↓（注：为做好出院患者的健康管理，卫生健康部门将对患者开展必要的随访观察。）#上海战疫##上海加油#卢某某，女，68岁，有相关病例接触史，2月22日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。乐某某，女，26岁，有相关病例接触史，因发热就诊，1月29日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。
胶州市人民检察院,:【疫情期间#常见病慢性病网上复诊医保可报销#】国家医保局、国家卫生健康委日前联合印发《关于推进新冠肺炎疫情防控期间开展“互联网+”医保服务的指导意见》，明确常见病、慢性病患者在互联网医疗机构复诊可依规进行医保报销。http://t.cn/A67SZnkh
