薅羊毛小分队,:招商银行APP扫图1如果是工资卡的用户可以试试这个他行卡转入后的实物抽奖转盘
大愚若兄,:有那个闲情逸致去弄懂人名缩写，还不如好好研究学术缩写…APA不够严格吗？DSM不香吗？DID没意思吗？ASD不值得关注吗？从REM醒来不快乐吗？TAT测试会做了吗？把学到的转入LTM不好吗？IVDV都咋测想好了吗？……………忙得很呢
黑龙江卫视,:【好消息！双鸭山又有2名新冠肺炎患者治愈出院】今天，双鸭山市人民医院2名新冠肺炎确诊患者治愈出院。截至目前，双鸭山市新冠肺炎治愈患者累计已达39例。2名治愈患者是分别于2月2日、2月11日转入市人民医院治疗。在省专家组指导和传染科医护人员的精心照顾和救治下，2名患者符合新型冠状病毒肺炎的出院标准。
_啊威是我是威官,:关于反对外国人永久居住权的事情。我很冷静。第一事实上有很多人已移居海外，已非中国籍，但仍是中国人，看到现在中国发展好了，想回来，但是因为外国人的身份有诸多限制，开放永久居住+第39条的走资条款更是方便能在中国捞钱，轻而易举就能转入境外。故宫开大G只会越来越多。第二涉及人种的问题，黑人基因就像柯基的腿短一样强大，不管是白人还是亚非拉人，二代，三代，我的后代身上流着的就是异族人的血。非我族人谈何爱国。第三，有外国人就一定会有人种聚集，有人种聚集，就一定会盘算犯罪，还会主张要求人权。闹着闹着就会立法给人权，泱泱大国岂能出尔反尔，这些人到时候只会赶也赶不走，再说我的孩子若被外国人侵犯，外国人烂命一条在境内，大不了就回家，我连可以告的人都没有。第四国难当头，急急忙忙通过草案，微博撤热搜，清评论，苏州试点早已开启，IP自动投票，铁路12306已开通外国人身份证购票，不是说好人民当家作主的吗？我的爷爷花了十几年的时间抗击倭寇，到现在身体里还留着弹片，从小被灌输党的思想的我虽然心怀远方，但是我知道什么是对什么是错。自古以来几代人的心血才有了如今的祖国，我并未对祖国做出任何贡献只求能站出来说不。我不允许有人能把中国的钱抽到境外。我不喜欢路上的外国人。虽然会伤到真的喜欢中国的外国人。大国所说的包容，绝不是在这种事上包容。我反对外国人永久居住，不是觉得哪条不完善，不合适，我而是反对整个条例。
四川名医,:【#方舱读书的清流哥出舱了#他还承诺照顾15岁小病友】前不久，在武汉国际会展中心方舱医院，一位年轻人躺在病床上专心看书的照片走红，网友称他为“清流哥”。记者获悉，经过20多天治疗，“清流哥”已痊愈，2月28日出舱转入隔离点，将继续观察14天。“清流哥”出舱时，还对还住院病友许下承诺，帮忙照顾他们家15岁的小病友。2月6日，记者曾对话这位“清流哥”，他姓付，今年39岁，老家在孝感市汉川，后随父母在武汉生活。他从武大博士毕业后去美国深造，目前在佛罗里达州立大学教书，研究方向是高分辨冷冻电镜。对于大家的关注，“清流哥”一直很低调，不愿外界过多关注。“我平时自己就很喜欢看书，这本书纯粹是因为兴趣爱好，压根没想到自己在网上走红。”楚天都市报http://t.cn/A67MomH7
老崔金融,:当前市场潜在的利空和利多利空：1、新型冠状病毒肺炎在世界各地流行或爆发，对全球经济造成重大冲击。2、抗击疫情重创国民经济。3、美国股市疑似见顶，或转入下行趋势。4、国内经济面对下行压力。5、注册制带来的上市公司股票供给增加。6、大小股东对高估值品种的减持压力仍然很大。7.......利多：1、股市整体点位并不算高，银行保险石油等权重板块节后涨幅不大。2、核心品种的估值处于相对历史低位。3、相对发达国家2-3%的贷款利率水平，国内5%以上的利率水平下行空间很大；存款准备同样颜有下调空间。4、超过200万亿的天量货币，助推资产价格。5、不排除抬出拉动基建投资刺激经济的老手段。6、解除房地产限购将释放大量购买动力。7、产业升级带来的新机会。
新闻日日睇,:#抗疫最前线#【#方舱读书的清流哥出舱了#他还承诺照顾15岁小病友】前不久，在武汉国际会展中心方舱医院，一位年轻人躺在病床上专心看书的照片走红，网友称他为“清流哥”#方舱清流哥#。记者获悉，经过20多天治疗，“清流哥”已痊愈，2月28日出舱转入隔离点，将继续观察14天。“清流哥”出舱时，还对还住院病友许下承诺，帮忙照顾他们家15岁的小病友。2月6日，记者曾对话这位“清流哥”，他姓付，今年39岁，老家在孝感市汉川，后随父母在武汉生活。他从武大博士毕业后去美国深造，目前在佛罗里达州立大学教书，研究方向是高分辨冷冻电镜。对于大家的关注，“清流哥”一直很低调，不愿外界过多关注。“我平时自己就很喜欢看书，这本书纯粹是因为兴趣爱好，压根没想到自己在网上走红。”（楚天都市报）
德阳全媒体,:#方舱清流哥#【#方舱读书的清流哥出舱了#他还承诺照顾15岁小病友】前不久，在武汉国际会展中心方舱医院，一位年轻人躺在病床上专心看书的照片走红，网友称他为：“清流哥”。昨天，楚天都市报记者了解到，“清流哥”经过20多天治疗已痊愈，2月28日出舱转入隔离点，将继续观察14天。“清流哥”出舱时，还对还住院病友许下承诺，帮忙照顾他们家15岁的小病友。楚天都市报曾对话这位“清流哥”。他姓付，今年39岁，老家在孝感市汉川，后随父母在武汉生活。他从武大博士毕业后去美国深造，目前在佛罗里达州立大学教书，研究方向是高分辨冷冻电镜。http://t.cn/A67MomH7http://t.cn/RJh9JhC
黑龙江发布,:#战疫情人人在行动#【好消息！双鸭山又有2名患者治愈出院】3月2日上午，双鸭山市人民医院2名新冠肺炎确诊患者治愈出院。据了解，2名治愈患者分别于2月2日、2月11日转入市人民医院治疗。在省专家组指导和该院传染科医护人员的精心照顾和救治下，经评估符合新型冠状病毒肺炎出院标准。
古镇珠山发布,:【武汉方舱医院内“清流读书哥”出舱了！】前不久，在武汉方舱医院内，一位年轻人躺在病床上专心看书的照片走红，网友称他为：“清流哥”。近日，“清流哥”终于出舱了，现在他已转入隔离点，继续接受14天的隔离观察。都市现场的微博视频
媒体人伟子,:【#韩国新增476例新冠肺炎#，#韩国确诊超4000例新冠肺炎#】韩国中央防疫对策本部2日通报，截至2日0时，韩国较1日下午4时新增新冠肺炎确诊病例476例，累计确诊病例达4212例。继上月29日确诊病例超过3000例之后，韩国新冠肺炎确诊病例于2日超过4000例。为解决病床紧缺问题，韩国中央灾难安全对策本部1日发布新版治疗管理方案。根据新方案，患者根据病情轻重分为轻症患者、中症患者、重症患者、最重症患者。中症以上患者迅速安排在负压病房或是国家定点医院接受治疗，轻症患者则到设于公营设施等地的“生活治疗中心”接受治疗。生活治疗中心也配有医疗人员，根据医疗人员的判断，轻症患者可随时转入医院接受治疗。（人民日报记者马菲）
日山戰神,:做法1、海鲈鱼去鳞，去鳃，去肚，洗净.，放葱姜腌制15分钟.2、把海鲈鱼头切下，豆腐洗净.3、锅里油热，放下海鲈鱼头煎一下，盛出.4、豆腐切块，用油煎过，盛出.5、取砂锅，放适量清水，放下海鲈鱼头.6、放葱结，姜片，料酒.7、大火煮开，中小火煮20分钟.8、放下豆腐，中火煮8分钟.9、放盐，胡椒粉调味.10、最后加些鸡精，撒些香菜末即可.制作步骤1.海鲈鱼去鳞，去鳃，去肚，洗净.2.取鱼的中段，从鱼背切开，鱼肚连着，在鱼身横切几刀，用盐腌20分钟入味.3.洗去盐份，沥干，放上姜丝，葱段.4.加些料酒，撒些胡椒粉，隔水蒸15分钟.5.浇上蒸鱼豉油，闷2分钟.6.把鱼转入大盆，撒上新鲜葱段.7.浇上热油.8.摆好造型，用些西红柿装饰即可.http://t.cn/R16xgSj
北京大兴,:【#方舱医院清流哥出舱#！#清流哥承诺照顾15岁小病友#】前不久，在武汉国际会展中心方舱医院，一位年轻人躺在病床上专心看书的照片走红，网友称他为：“清流哥”。昨天，“清流哥”经过20多天治疗已痊愈，2月28日出舱转入隔离点，将继续观察14天。“清流哥”出舱时，还对还住院病友许下承诺，帮忙照顾他们家15岁的小病友。http://t.cn/A67aAwYf
中国食品报,:【#方舱读书的清流哥出舱了#他还承诺照顾15岁小病友
好客美家,:连续四名居家隔离患者死亡，大邱开设轻症收治中心韩国大邱的病例每天依旧在激增。在这场与病毒的殊死搏斗中，日益严重的医疗资源短缺已成为这座城市眼下最紧迫的问题。目前，超过1600名确诊病人仍在家中等待住院治疗。而在过去的这个周末，又有两名在家隔离的患者死亡，目前已有4名患者在等候住院过程中不幸过世。大邱市警方证实，3月1日下午6时30分，大邱市寿城区的一位77岁女子在家中死亡。该患者在前一天被确诊，同时患有慢性疾病和肝癌等潜在疾病。这是韩国第22例死亡，也是第四位在等待住院期间死亡的患者。据《韩民族新闻》报道，就在不到两个小时前，另一名在家隔离的86岁确诊女性由于出现呼吸急促被紧急送往医院抢救，不治身亡。据警方统计，包括当天早些时候在医院中的3起死亡病例，仅3月1日一天，大邱市就新增了5例死亡病例，是疫情发生以来死亡人数最高的一天。据韩国政府披露，就在两天前，已有两名确诊病患在家隔离等候病床时，由于病情突然恶化，送医不治身亡。越来越多人呼吁政府采取更细化的紧急措施来照顾不同患者，避免更多人在等待住院期间死亡。对此，大邱市市长权泳臻在周末的记者会上痛心疾呼，“我们已经达到容量的极限，可以保证的病床数量增长远远赶不上病人增加的速度，而且我们严重缺乏医务人员。”大邱市政府称，截至3月1日，大邱又增添了1329张床位，488位患者可以在周末入院，但是仍然不能够满足井喷式增长的需要。截至3月2日上午9时，韩国疾控部门最新通报，当天再新增476例新冠肺炎确诊病例，累计4212例，死亡24例。其中大邱占近3000例。根据韩国防疫部门的数据，大邱超过80%的患者症状相对较轻，其余20%的患者需要迅速住院治疗。韩国国家医疗中心负责人郑基铉(ChungKi-hyun，音译)在3月1日的新闻发布会上表示，对于大邱的医疗资源短缺问题，当务之急是尽快建立起一个病人护理和管理系统，将医疗资源有效地分配到最急需的地方。为此，韩国中央灾难安全对策本部1日发布了新版治疗管理方案，该方案把重点放在重症患者的治疗上，将有限的医院床位分配给优先病人或病情较重的病人，同时兼顾到轻症患者，安排他们到院外设施接受治疗。根据新方案，患者根据病情轻重分为轻症患者、中症患者、重症患者、最重症患者。中症以上患者迅速安排在负压病房或是国家定点医院接受治疗，轻症患者则安排到设于公立设施的“生活治疗中心”接受治疗。“生活治疗中心”也配有医疗人员，根据医疗人员的判断，轻症患者可随时转入医院接受治疗。中症以上患者若病情好转出院，将根据主治医生和患者管理工作组的判断是送到“生活治疗中心”接受治疗或是回家休养。方案指出，“生活治疗中心”由各地方政府各自指定，周边医疗机构提供医疗支援。大邱市长权泳臻在1日晚上证实，大邱市将从2日起在教育部中央教育研修院开启第一个“生活治疗中心”，由庆北大学医院提供医疗管理。预计首批收治160多人，将有医护人员24小时照料。韩联社的报道称，政府在治疗中心给患者准备了体温计、药品、内衣、口罩等个人生活盥洗用具，同时饮食和零食也全部免费。在大邱疫情处于最严峻时刻之时，韩国国内也伸出了援助之手。“我们将接受和治疗来自大邱的确诊患者。我请求光州市民在这场战斗中给予支持，”光州市长李庸燮（LeeYong-sup音译）3月1日在新闻发布会上说道。他表示，将为大邱病人提供出全市105个隔离病床的一半，以作支持。
卖鲜花的小鱼,:#方舱医院里的阅读者#医院里的一股清流，看《政治秩序的起源：从前人类时代到法国大革命》的“清流哥”2月28日已经出舱转入隔离点，将继续观察14天。#方舱读书的清流哥出舱了#
