董小蕾同学就是我,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
最爱晓芸豆,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
一小只小熊,:#省考##考研#【考研英语】【考研政治】【考研数学】英语四六级法考司法考试注会初级会计中级会计国考【公务员考试】【云南省考】【贵州省考】【四川省考】【宁夏省考】【甘肃省考】【浙江省考】【广东省考】【江苏省考】【福建省考】【江西省考】【黑龙江省考】【辽宁省考】【天津市考】【河北省考】【河南省考】【湖北省考】【湖南省考】【西藏省考】【新疆省考】【青海省考】【广西省考】【江苏事业单位山东公基事业单位福建事业单位http://t.cn/A67NPizT
光明公安,#致敬公安英雄[超话]#【送别战友！辽宁阜蒙县一名民警牺牲在疫情防控一线[伤心]】#抗疫一线群英谱#2020年3月1日，辽宁省阜新市阜蒙县公安局大五家子派出所民警孟宪龙，在抗击疫情期间，因突发心脏疾病牺牲在工作岗位上。孟宪龙，男，汉族，中共党员，1963年3月出生，1998年9月参加公安工作，生前系阜蒙县公安局大五家子派出所二级警长。#疫情当前警察不退#
中国教育在线继教中心,:发布了头条文章：《辽宁省自考毕业证明办理相关信息》辽宁省自考毕业证明办理相关信息
淡泊明志宁静致远-czy,:2007年3月3—5日，辽宁省内下了一场特大暴雪，今天也是3月3日，历史要重现吗？
宿松正道,【#辽宁省新增3例确诊均为丹东病例#，累计125例】#新冠肺炎最新动态#据辽宁省卫健委，3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。#对2月12日后境外入丹东人员核酸检测#http://t.cn/A67K1P5x
甜心鱼肉子,发表在《人民司法》之法官雄文——《强奸致被害人怀孕不应认定为其他严重后果》——————————————————————————快速普法:强奸罪有一个认定【严重后果与否】的分级。如果确认是严重后果，起刑点是从有期徒刑十年开始起算。如果没有成功认定为严重后果，那就有期徒刑三年到十年。许多关于强奸的案子，最大的争议点就是【是否造成严重后果】。检察院抗诉、当事人上诉、法院撤销原判发回重审、发回再审、改判，很多时候就是围绕这一个点。严重与否，就是有期徒刑十年以上，还是以下的问题。这条线非常重要。——————————————————————————回到案子，案子非常简单。强奸犯王中迎强奸了存在精神状态缺陷的女受害者，致使其怀孕。女受害者最后不得不去人工引产，引产时已经是四个月大了。一审是南安市法院，认为强奸致使受害者怀孕并堕胎，是造成严重后果，因此是判决10年以上。(10年3个月)二审是泉州市中院，认为一审量刑畸重，强奸导致怀孕并导致堕胎根本不构成严重后果，因此改判，十年以下。(6年)——————————————————————————写这篇雄文的林前枢法官，是本案的二审承办法官。他专门将这个改判案子拿出来，专门写出来投稿了，发出来给大家看:来来来，看看，我改判的~——————————————————————————要清楚一点，这种案子，二审不可能是一人审，是三个法官，还有书记员。各个环节都有人。而且，这稿子发到《人民司法》上，也不是一个主编。收稿、审查、编辑排版、校对，同样是各个环节都有人。——————————————————————————这么多人，都一路绿灯。这说明什么？说明林法官不是一个人。说明大家都是这么认为的。根本没有谁觉得有半点问题。——————————————————————————“强奸可能导致怀孕，这是个众人皆知的道理。因此强奸导致怀孕，不应该是【造成严重后果】。因为本来就有这个概率。”这话乍一听，非常有道理。但是，举个最简单的反例。同样是拿刀砍头，你砍他成脑震荡，我判你三年。你砍他砍死了，我判你无期。但是，这个时候再把林法官的逻辑套进来，看一下:“砍人可能会导致死亡，这是个众人皆知的道理。因此砍人导致死亡，不应该是【造成严重后果】。因为本来就有这个概率。”
中国消费者报,:【辽宁法院集中宣判7起涉疫情犯罪案件12人获刑】近日，辽宁省沈阳、大连、抚顺、营口、丹东、辽阳等6地法院对7起涉疫情犯罪案件进行集中宣判，涉案的12名被告人分别被判处拘役3个月至有期徒刑11个月不等的刑期。据了解，这是辽宁法院第三次集中宣判涉疫情犯罪案件，当天集中宣判的有5起所涉罪名为妨害公务罪。http://t.cn/A67CDnwt
辽宁气象,:大雪Ⅳ级预警:预计未来3到4小时，营口市区将出现大雪，可能造成交通线路中断。根据《辽宁省高速公路灾害性天气应急联动预案》，发布该地区高速公路气象灾害Ⅳ级预警。辽宁省气象局2020年3月3日16时00分发布
江南晚报,:【痛心！#辽宁一民警牺牲在抗疫一线#
铁岭同城,:#铁岭爆料[超话]##抗击新型肺炎我们在行动#【我市又一例新冠肺炎患者治愈出院】3月1日，我市又有一例新冠肺炎患者从辽宁省传染病医院（沈阳市第六医院）治愈出院。via@铁岭广播电视台铁岭广播电视台的微博视频铁岭·铁岭县
辽宁气象,:大雪黄色预警信号：过去3到4小时，鞍山市区、海城市、营口市区的降雪量已达到4到4.5毫米；预计未来3到4小时，还将出现2到3毫米的降雪，请注意防范。辽宁省气象灾害监测预警中心2020年3月3日15时53分发布
腿长一米八的长腿小富婆,:你可以不够强大，2021考研网课考研英语考研数学考研政治英语专八专四日语n1n2腿姐英语但是你不能没有梦想，2020省考广西公务员考试辽宁省考江苏省考浙江省考安徽省考河北省考河南省考粉笔公考粉笔系统班资料分析判断推理公务员面试如果你没有梦想，小学中学教师资格证考试将来你就只能为别人的梦想打工。山东省教师招聘考试网课这一路你可以哭，重庆事业单位考试但你一定不能停。http://t.cn/A67XBVmn
锦州气象,:3月3日辽宁省凌海市出现大雪天气，最大雪强达2.5毫米/每小时，积雪深度达10厘米。凌海市气象局启动降雪加密观测，观测人员每小时观测积雪并上传，确保气象数据准确及时。（文：文大伟/图：郭坤）
铜陵路清韵,【#辽宁省新增3例确诊均为丹东病例#，累计125例】#新冠肺炎最新动态#据辽宁省卫健委，3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。#对2月12日后境外入丹东人员核酸检测#http://t.cn/A67K1P5x
中国气象局,:#气象在现场#冰雪也挡不住你们的观测～3月3日，辽宁省阜新市阜蒙县气象局观测员在雪中测量土壤墒情。#2020强降雪#（图/文：王思源史洪杰）
小悦宝咂呀,:#教师编制[超话]#各位学哥，学姐，有没有辽宁省，吉林省教师考编群，分享一下呗
平安辽宁,:#疫情当前警察不退#【我以我血献战“疫”，关键时刻见真情】病毒虽无情人间有大爱！在全民战“疫“的关键时期血液供应重于泰山辽宁省大连市公安局党委向全警发出“体现公安精神，关键时刻见真情”的号召广大民（辅）警纷纷积极献血充分体现了大连公安“人民在我心中，我为人民服务”的高尚觉悟和奉献精神吹响了战胜疫情的集结号关键时刻见真情捐献可以再生的血液能够挽救不可重来的生命我们爱心的一小部分却可能是他人生命的全部鲜血有色，誓言无声在疫情防控最吃劲的关键阶段大连公安将持续以实际行动叫响疫情不退，警察不退！无偿献血，我们优先！
拾光学社,:#父母眼中最合适的工作#2020考研复试2021考研初试，#公务员考试#注册安全工程师🙃英语四六级，监理工程师，公务员考试山西省考，山东省考，河北省考，辽宁省考，黑龙江省考，江苏省考，陕西省考。军队文职考试🙃acca，cfa一级，cfa二级，初级会计，中级会计，专四专八，公共基础知识，事业单位，一级注册消防工程师，
daidai680726,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
辽宁中公教育,:#2020辽宁省考##2021国考#抓准关键词，片段阅读不再纠结
沐滢呐,发表在《人民司法》之法官雄文——《强奸致被害人怀孕不应认定为其他严重后果》——————————————————————————快速普法:强奸罪有一个认定【严重后果与否】的分级。如果确认是严重后果，起刑点是从有期徒刑十年开始起算。如果没有成功认定为严重后果，那就有期徒刑三年到十年。许多关于强奸的案子，最大的争议点就是【是否造成严重后果】。检察院抗诉、当事人上诉、法院撤销原判发回重审、发回再审、改判，很多时候就是围绕这一个点。严重与否，就是有期徒刑十年以上，还是以下的问题。这条线非常重要。——————————————————————————回到案子，案子非常简单。强奸犯王中迎强奸了存在精神状态缺陷的女受害者，致使其怀孕。女受害者最后不得不去人工引产，引产时已经是四个月大了。一审是南安市法院，认为强奸致使受害者怀孕并堕胎，是造成严重后果，因此是判决10年以上。(10年3个月)二审是泉州市中院，认为一审量刑畸重，强奸导致怀孕并导致堕胎根本不构成严重后果，因此改判，十年以下。(6年)——————————————————————————写这篇雄文的林前枢法官，是本案的二审承办法官。他专门将这个改判案子拿出来，专门写出来投稿了，发出来给大家看:来来来，看看，我改判的~——————————————————————————要清楚一点，这种案子，二审不可能是一人审，是三个法官，还有书记员。各个环节都有人。而且，这稿子发到《人民司法》上，也不是一个主编。收稿、审查、编辑排版、校对，同样是各个环节都有人。——————————————————————————这么多人，都一路绿灯。这说明什么？说明林法官不是一个人。说明大家都是这么认为的。根本没有谁觉得有半点问题。——————————————————————————“强奸可能导致怀孕，这是个众人皆知的道理。因此强奸导致怀孕，不应该是【造成严重后果】。因为本来就有这个概率。”这话乍一听，非常有道理。但是，举个最简单的反例。同样是拿刀砍头，你砍他成脑震荡，我判你三年。你砍他砍死了，我判你无期。但是，这个时候再把林法官的逻辑套进来，看一下:“砍人可能会导致死亡，这是个众人皆知的道理。因此砍人导致死亡，不应该是【造成严重后果】。因为本来就有这个概率。”
