秒拍资讯,:【惨不忍睹！#辽宁一河边现百只野生鸟类尸体#志愿者：疑有人投毒
哈飞工大,:2020年2月18日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增12例治愈出院病例，其中大连市4例、本溪市2例、阜新市3例、辽阳市1例、葫芦岛市2例。
胜利小歌,:#10个战疫好消息#2020年2月18日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增12例治愈出院病例，其中大连市4例、本溪市2例、阜新市3例、辽阳市1例、葫芦岛市2例。全省累计报告新型冠状病毒肺炎确诊病例121例，治愈出院55例，死亡1例。http://t.cn/A6hNDV6W
辽宁新闻官方微博,:【2020年2月18日0时至24时辽宁省无新增病例】2020年2月18日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增12例治愈出院病例，其中大连市4例、本溪市2例、阜新市3例、辽阳市1例、葫芦岛市2例。全省累计报告新型冠状病毒肺炎确诊病例121例，治愈出院55例，死亡1例。
辽阳日报,:【辽阳市工信局调研重点防疫物资生产企业】2月18日，辽阳市工信局领导到辽宁丛迪服装有限公司、灯塔市东维无纺布制造厂调研重点防疫物资生产情况，同时查看企业复工复产相关要求落实情况，就企业如何抓好复工复产的自身防疫工作和加快防疫物资产品生产进行现场指导。辽宁丛迪服装有限公司现已成为防护隔离衣重点生产企业，灯塔市东维无纺布制造厂是一家集无纺布研发、生产、销售为一体的民营企业。主要产品为丙纶纺粘热轧长丝无纺布，年产量6千吨。无纺布产品广泛应用于医疗、建筑、农业、包装等领域，可作为辽阳防疫防护产品的重要生产原料。（朱毅记者张昕）
辽阳日报,:【疫情当前党员出列做一个坚定的守护者】在疫情面前，总有一种人冲在最前面，把安全留给他人，危险留给自己，他们就是共产党员。辽阳市特殊教育学校党支部书记刘婷婷就是其中的一员。作为机关事业单位选派到防控一线的干部，刘婷婷被分配到胜利街道药机社区开展工作。2月11日起，药机社区对北哨市场周边老旧小区实施封闭管理，药机社区人员流动大，实施物业管理的小区少，还有大面积平房区，许多群众对小区封闭带来的不便不理解，抵触情绪较大，给小区封闭工作带来了极大的阻碍。面对困难，刘婷婷发挥出教育工作者的优势，对辖区的居民讲解防控的重点、封闭小区的作用，晓之以理动之以情，得到居民的理解和支持。为了堵住封闭漏洞，她同社区的工作人员全面查看了所辖小区的地形，针对有多个出入口的药机家属区、铁路家属区等平房区域，他们冒着凛冽的寒风安装了铁栅栏和隔离带。一天下来手脚冻得僵硬，脸被吹得发红，但看到防控初见成效她心中却是暖暖的。面对这场无硝烟的战疫，刘婷婷一直坚守在防控难度较大的药机社区日本土楼12组封闭点，但她任劳任怨、始终坚守，因为在她心中有一面党旗在高高飘扬。（拍客宏健）
辽阳身边事,辽阳市公安局交通警察支队优化服务发展、支持企业复工十项举措
谷哥Boxing,:两次音爆，诶我操了！能不能给个说法啊！这也太吓人了！@平安辽阳@辽阳市公安局辽阳·富虹·阳光尊邸
民政为民,:2020年2月18日0时至24时辽宁新型冠状病毒肺炎疫情情况　　2020年2月18日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增12例治愈出院病例，其中大连市4例、本溪市2例、阜新市3例、辽阳市1例、葫芦岛市2例。全省累计报告新型冠状病毒肺炎确诊病例121例，治愈出院55例，死亡1例。　　现有65名确诊患者在院治疗，其中有63名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心36人、大连中心13人、锦州中心14人），其余2人分别在朝阳市、葫芦岛市定点医疗机构隔离治疗。65名在治患者中，重型病例6例，危重型病例2例。　　全省121例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市7例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。　　目前累计追踪到密切接触者2702人，已解除医学观察2165人，现有537人正在接受医学观察。
晓夏56,:[推荐]沈阳7天、辽宁2天无新增！今天，人民日报三次“点名...。查看👉👉👉http://t.cn/A6h0UkbX年2月18日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增12例治愈出院病例，其中大连市4例、本溪市2例、阜新市3例、辽阳市1例、葫芦岛市2例。全省累计报告新型冠状病毒肺炎确诊病例1http://t.cn/A6h0Ukb9
观战者-那勇,:#观战话股[超话]##沈阳爆料#【沈阳已连续7天无新增确诊病例[给力]】2020年2月18日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增12例治愈出院病例，其中大连市4例、本溪市2例、阜新市3例、辽阳市1例、葫芦岛市2例。全省累计报告新型冠状病毒肺炎确诊病例121例，治愈出院55例，死亡1例。现有65名确诊患者在院治疗，其中有63名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心36人、大连中心13人、锦州中心14人），其余2人分别在朝阳市、葫芦岛市定点医疗机构隔离治疗。65名在治患者中，重型病例6例，危重型病例2例。全省121例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市7例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2702人，已解除医学观察2165人，现有537人正在接受医学观察。（沈阳发布）#10个战疫好消息#
服务沈阳,:#沈阳爆料#【沈阳已连续7天无新增确诊病例
超级赛亚人2011_5,:#这些人和国难时期的汉奸有什么区别吗？#最近，湖南张家界市疾控中心慢性非传染性疾病防治科科长李文杰被撤职处分，原因是他谎称母亲和武汉有关人员有接触，携家人到泰国躲避疫情，美其名曰“自行隔离”，还是经多次劝返，才于2月9日回到张家界。无独有偶，辽宁辽阳市铁西街道韩夹河村主任韩广喜1月22日参加疫情防控工作部署会议后，擅自离岗，跑去泰国旅游，也被停职。疫情来了！溜了溜了？玉林市福绵区文体旅游局聘用人员秦晓梅，竟然谎报其曾与感染者密切接触，出现疑似新冠肺炎症状，为逃工作也是够拼的。还有一些干部既知“溜”不了，索性在防控工作中“挑三拣四”“推三阻四”。记者采访中了解到一个典型案例，某基层站所负责人怕染上病毒，便以“该任务不是职责范围内工作”等为由，拒绝组织安排。更有甚者，宁可不要工作、舍弃职务，也要“走为上计”。湖北省黄石市黄石港区新闸社区计生专干程缤漫便是其一，程缤漫在1月14日—2月2日在岗上班后，2月2日晚提出辞职，未说明原因，上级劝说无效，后被责令辞职处理。
乐天射手·奔跑,:站在首山公园的凉亭看辽阳市的美景，景色优美动人。
营口同城会,:【沈阳已连续7天无新增确诊病例】2020年2月18日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增12例治愈出院病例，其中大连市4例、本溪市2例、阜新市3例、辽阳市1例、葫芦岛市2例。全省累计报告新型冠状病毒肺炎确诊病例121例，治愈出院55例，死亡1例。现有65名确诊患者在院治疗，其中有63名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心36人、大连中心13人、锦州中心14人），其余2人分别在朝阳市、葫芦岛市定点医疗机构隔离治疗。65名在治患者中，重型病例6例，危重型病例2例。全省121例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市7例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2702人，已解除医学观察2165人，现有537人正在接受医学观察
辽阳交警,:【辽阳市公安局交警支队事故快处中心便民新举措】新型冠状病毒疫情期间，辽阳事故大队快处中心优化事故处理业务，采取一系列便民措施，保障事故当事人的便捷和安全。一、全面推动12123事故在线处理。快处中心在人员短缺的情况下，派驻警力入驻交警指挥中心，第一时间发现交通事故，，民警立即通过电话指导当事人自行撤离现场，引导当事人通过12123平台快速处理、定责和理赔，最大限度的减少人员流动和人员接触。二、杀菌消毒保障大厅窗口卫生，快速处理减少当事人等待时间。疫情期间，作为交警唯一对外开放的大厅，辽阳市快处中心因为工作性质特殊，窗口要接待前来处理事故的车主，人流较大，快处中心认真做好防疫工作，对每名进入人员进行体温测试，要求车主佩戴口罩，每天对全中心进行消毒杀菌。当多起事故车主同时前来处理时，采取了分批入内，室外验车和室内处理同时进行的方式，既避免人群聚集，减少污染机会，又缩短了处理时间，基本上所有事故从预约到处理结束三分钟以内。三、开辟“涉疫车辆”和企业车辆事故处理绿色通道。快处中心在疫情期间开辟“涉疫车辆”和企业车辆事故处理绿色通道，采用互联网事故E处理原则，快速处理“涉疫车辆”和企业车辆事故处理，保障疫情物资不耽误，民生用品不停留。2020年2月16日上午，接到吉林“涉疫大货车辆”高某和徐某的事故信息后，快处中心民警立即通过电话联系吉林这两位驾驶员，告知双方如何快速处理，不影响涉疫急需物品的运输，两分钟之内直接通过12123软件将电子版责任认定书发送到双方当事人手机内，双方当事人对于辽阳事故的处理速度和便捷程度表示感谢。辽阳市公安局交警支队警保联动服务中心负责人：王警官150419570632020年2月18日
辽阳气象,:邹方兴“疫”无反顾，逆行而上，众兄弟情深似海，盼你早归1月26日，大年初二，本应带着家人串亲走友，在一起幸福团圆的吃饭、聊天。但对辽阳市结核医院主治医师邹方兴来说，却是一个特殊难忘的日子，他将出征武汉，参加援助湖北应对新型冠状病毒感染性肺炎疫情医疗队。从他的两篇战“疫”日记中，我们了解到，邹方兴在到达武汉后，经过培训被分配到湖北省人民医院武汉济和医院。在紧张的工作中，防护服需从早穿到晚，期间无法上厕所，每次脱下防护服都会脱水，挑战人类生理极限。他所在医院的医护人员，已经记不清自己上了多少个班，记不清自己有多久没回过家了，白天和黑夜在那里没有界限。有的医护人员感染了，确诊数字每天还在上涨，却无一人退缩，仿佛克服了人类最初的恐惧，是怎样的一种信念在支撑着他们，不是金钱，不是名利，而是救死扶伤的信念，是共产党员冲锋在前的信仰，是医者仁心。他在日记中写道：“短短几天的驰援武汉一线救援工作，带给我莫大的感触，仿佛经受一次灵魂的洗礼，伟大的祖国、坚强的武汉、英雄的白衣战士都让我肃然起敬！向武汉的战友们致敬！你们才是最美最可爱的人！”作为方兴儿时的玩伴，我在这一瞬间仿佛也被带到了武汉，亲眼所见了他所见的一切，双眼泪目、感慨万千，灵魂也同样接受了一次洗礼。1月30日，辽阳市结核病医院发布接受爱心捐赠社会公告，医院防护物资严重短缺。2月19日，经过多天的筹备和多方采购，邹方兴儿时玩伴为辽阳市结核病院捐赠防护服10套、护目镜10个、医用酒精360斤。外行上不了一线却心急如焚，唯略捐薄物聊表心意。哪有什么岁月静好，只是有人替你负重前行，医疗人员、行政人员、警务人员、环卫工人、志愿者，感谢坚守岗位让每座城市正常运转的人，致敬奋斗在“战疫”一线的每个逆行者，让我们一起为武汉加油！为中国加油！相信很快我们便会恢复往日的喧嚣。图文：杨一博
辽阳日报,:【包促工作组捐赠防疫物资慰问一线干警】2月14日，第30包促工作组组长、辽阳市中级人民法院院长邢洪亮到白塔区南门街道青年街社区捐赠防疫物资并走访慰问到基层一线协助防疫工作的法院干警。疫情以来，市法院“五包五促”四个工作队第一时间了解各包促社区开展疫情防控工作的情况，组织各工作队队员以短信、微信、致包促户一封信等形式向包促户做好“十不要”的宣传和相关政策普及。在防控物资紧缺的情况下，市法院党组积极协调社会各方力量为南门街道的丰乐社区、喇嘛园社区、青年街社区、草仓社区分别捐赠消毒液、口罩、一次性手套、暖贴等防疫物资。（记者季春鹏）
辽阳日报,:【三份请战书终于上一线】王东是部队复转到辽阳市城市管理事务服务中心的一名党员，防疫关键时刻，王东先后递交三份请战书，积极要求到社区一线。王东在单位担任机械化除雪小组副组长，前两天辽阳下了暴雪，在当天社区卡点防疫执勤结束后，他又马上投入到除雪工作中，一连几个昼夜奋战在一线，克服各种困难，直到除雪任务圆满结束。“我曾经是军人，现在还是党员，我们除雪工作能换回全市人民的安全出行，在街道社区的抗‘疫’防控、严防死守能换回抗‘疫’的胜利，再苦再累都值了！”（记者肖楠）
鞍山人力资源,:【2月18日0时至24时辽宁无新增病例】2020年2月18日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增12例治愈出院病例，其中大连市4例、本溪市2例、阜新市3例、辽阳市1例、葫芦岛市2例。全省累计报告新型冠状病毒肺炎确诊病例121例，治愈出院55例，死亡1例。现有65名确诊患者在院治疗，其中有63名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心36人、大连中心13人、锦州中心14人），其余2人分别在朝阳市、葫芦岛市定点医疗机构隔离治疗。65名在治患者中，重型病例6例，危重型病例2例。全省121例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市7例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2702人，已解除医学观察2165人，现有537人正在接受医学观察。
辽阳中院,:辽宁法院互联网庭审云平台当事人端操作手册-辽宁省辽阳市中级人民法院http://t.cn/A6hpJuFJ
辽阳中院,:倡议书-辽宁省辽阳市中级人民法院http://t.cn/A6hpJXLB
