瀚晪,:我的抑郁症状表现为打开冰箱要发呆五秒钟
庖丁解厨,:日本的治疗效果，将对比出两国人的身体健康水平，以及中国长期大量使用抗生素的影响。#腾讯新闻#日本使用哮喘吸入剂治疗新冠肺炎，患者症状得到改善日本使用哮喘吸入剂治疗新冠肺炎，患者症状得到改善来自@腾讯新闻
理财信息报,:【疫情动态：突尼斯确诊首例新冠肺炎病例】据央视新闻，当地时间3月2日，突尼斯卫生部长阿卜杜勒拉蒂夫·梅基在新闻发布会上宣布，该国确诊首例新冠肺炎病例。据称，这名病例是突尼斯人，2月27日坐船从意大利到达首都突尼斯城的拉古莱特港口，2月29日出现症状，目前在苏塞的大学附属医院接受隔离治疗。病人的家属和船上的254位乘客也都在接受医疗观察。
血管瘤专家-来春庚,:血管瘤会引起哪些并发症，又有哪些显著的症状呢？随着血管瘤病情的发展，会引发一些并发症，其中较为常见的是溃疡和坏死，并可继发感染。我院血管瘤专家指出，出现在面部的血管瘤易造成患者美容缺陷;眶周的血管瘤可引起散光、近视、上睑下垂、弱视、失明等;鼻咽部、喉等部位的血管瘤可导致哮喘、呼吸困难及呼吸衰竭;骨和软组织的血管瘤可使骨和软组织不对称性增长，引起功能和体态异常。http://t.cn/A679V6kW
人民网山东频道,:【100台无创呼吸机抵达武汉！
凤凰卫视,:#国际疫情#【意大利确诊突破2千例单日录18例死亡】新冠肺炎疫情在多国持续爆发，沙特阿拉伯、塞内加尔以及拉脱维亚都出现首宗确诊病例。欧洲疫情最严重的意大利，确诊病例已经突破两千例，死亡病例有52例，其中在2号当天就有18例。意大利当局2号表示，新增确诊的250多例当中，有一半人原本是没有症状或已经在家隔离，另外一半是已有症状正在住院。新冠肺炎疫情蔓延全球，多地超市都出现抢购潮，在澳大利亚堪培拉，英国的伯明翰等，药品、日用品等差不多被抢购一空。（凤凰卫视吴文轩综合报道）
米虫之台州,#众志成城安徽抗击肺炎#【3月3日安徽省报告新冠肺炎疫情情况】2020年3月2日0-24时，安徽省报告无新增确诊病例，无新增疑似病例，新增治愈出院病例29例。新增治愈出院病例中，合肥6例、阜阳6例、六安5例、亳州4例、蚌埠2例、芜湖2例、淮南1例、马鞍山1例、池州1例、黄山1例。截至3月2日24时，安徽省累计报告确诊病例990例，累计治愈出院病例917例，累计死亡病例6例，累计医学观察密切接触者28235人，尚在医学观察504人。累计确诊病例中，合肥174例、蚌埠160例、阜阳155例、亳州108例、安庆83例、六安69例、宿州41例、马鞍山38例、芜湖34例、铜陵29例、淮北27例、淮南27例、池州17例、滁州13例、黄山9例、宣城6例。截至3月2日24时，安徽省在院治疗确诊病例67例，无危重症病例。3月3日预计治愈出院24例，其中阜阳6例、六安6例、合肥4例、蚌埠4例、宿州1例、淮南1例、滁州1例、马鞍山1例。
血管瘤专家-来春庚,:发表了博文《血管瘤的症状和预防措施有哪些呢?》　　随着经济水平的不断发展，大家的各方面取得了进步，但是也带来了各种疾病的衍生。其中血管瘤发病率一直呈现逐年上升的趋势，那么大家就得知道一些血管瘤的症状和血管瘤的症状和预防措施有哪些呢?
是周媛呀,:#在家带娃大作战#像这种动不动就开心的晃头的症状得发放到哪个科微博视频#在家带娃大作战#
4S运动体能康复学院院长-相福通,【上海公布3月2日（0-24时）确诊病例涉及区域和场所情况】#最新#市卫健委今早（3月3日）通报：昨天，3月2日0—24时，上海新增确诊病例1例。根据流行病学调查，3月2日确诊病例涉及区域和场所的情况如下↓浦东新区：玉兰香苑、联华超市（益江店）注：对查明的密切接触者已全部隔离医学观察，对有确诊病例的小区等已告知当地，并严格落实了相关消毒措施。#上海战疫##上海加油#
羊城晚报金羊网,:【#黄石两村民发热打牌致多人感染#，与村支书同被立案】2月21日至23日，太子镇老屋村4人先后被确诊为新冠肺炎。其中，潘某松、王某无视疫情管控规定，2月5日至16日期间频繁出入，在出现发热、咳嗽症状后，潘某松恶意隐瞒，聚集村民购物、打牌、垂钓，导致多名家人和牌友被感染。目前，老屋村确诊人数已达7人。因对村民放任自流，玩忽职守，严重违反防控指令，原老屋村党支部书记、村委会主任王某凤已被撤销党内职务，依法罢免村委会主任职务。3月1日，黄石开发区·铁山区公安分局依法对王某凤、潘某松、王某三人因涉嫌妨害传染病防治罪立案侦查。（湖北日报）
Sheepherd2008,:阴虚水平～～～
平安柯桥,:#黄石两村民发热打牌致多人感染#湖北黄石太子镇老屋村4人先后被确诊为新冠肺炎。潘某松、王某无视疫情管控规定，出现发热、咳嗽症状后，潘某松恶意隐瞒，聚集村民购物、打牌、垂钓，导致多名家人和牌友被感染。目前，老屋村确诊人数已达7人。因对村民放任自流，玩忽职守，严重违反防控指令，原老屋村党支部书记、村委会主任王某凤已被撤销党内职务，依法罢免村委会主任职务。3月1日，黄石开发区·铁山区公安分局依法对王某凤、潘某松、王某三人因涉嫌妨害传染病防治罪立案侦查。
嘉峪关同城,:【中国留学生在韩国确诊新冠肺炎铁岭市疫情防控指挥部发布行动轨迹】3月1日，韩国出现首例中国留学生确诊新冠肺炎病例，该患者于2月28日从辽宁铁岭返韩。3月2日，记者从铁岭市疫情防控指挥部获悉，初步排查到的18名密切接触者已全部接受隔离观察，目前无发热等异常症状。盛京视频的微博视频
正义网,:【湖北#黄石两村民发热打牌致多人感染#与村支书同被立案】日前，湖北黄石太子镇老屋村4人先后被确诊为新冠肺炎。其中一人在出现发热等症状后，恶意隐瞒，聚集村民购物、打牌、垂钓，致多人被感染。因玩忽职守，原老屋村党支部书记、村委会主任王某凤已被撤销党内职务，被罢免村委会主任职务。目前，警方已对3人立案侦查。@湖北日报
盐城网警巡查执法,:【
差记性兔子,丽水一天发现7例意大利输入，意大利死亡数52，确诊报2000，实际感染数字，经历过的都懂……
彭珞-自得养生,:#健康养生[超话]##李红亮[超话]##新冠肺炎#武汉肺炎10大典型症状世界卫生组织公布「武汉肺炎」确诊患者10大典型症状！更指出#新冠肺炎#在人类冠状病毒中独一无二，具有高传播性，且对某些高风险人群具有致命威胁。
妈妈咪卡,:#孕产百科#孕晚期总觉得胃口不好，对胎儿有影响吗？孕晚期子宫增大，会压迫胃部，引起消化道不舒服症状，包括反酸等情况是正常的，如果不严重不用特殊干预。
只喜欢漂亮的小姐姐2019,:#浙江新增7例均为意大利输入病例#是不是在呼吸道才会有临床症状？病毒越来越狡猾了
期货刘洋,:日本使用哮喘吸入剂治疗新冠肺炎，患者症状得到改善日本使用哮喘吸入剂治疗新冠肺炎，患者症状得到改善
四川监狱,:【#黄石两村民发热打牌致多人感染#与村支书同被立案】2月21日至23日，湖北黄石太子镇老屋村4人先后被确诊为新冠肺炎。其中，潘某松、王某无视疫情管控规定，2月5日至16日期间频繁出入，在出现发热、咳嗽症状后，潘某松恶意隐瞒，聚集村民购物、打牌、垂钓，导致多名家人和牌友被感染。目前，老屋村确诊人数已达7人。因对村民放任自流，玩忽职守，严重违反防控指令，原老屋村党支部书记、村委会主任王某凤已被撤销党内职务，依法罢免村委会主任职务。3月1日，黄石开发区·铁山区公安分局依法对王某凤、潘某松、王某三人因涉嫌妨害传染病防治罪立案侦查。@中国新闻周刊
四川监狱,:【#黄石两村民发热打牌致多人感染#与村支书同被立案】2月21日至23日，湖北黄石太子镇老屋村4人先后被确诊为新冠肺炎。其中，潘某松、王某无视疫情管控规定，2月5日至16日期间频繁出入，在出现发热、咳嗽症状后，潘某松恶意隐瞒，聚集村民购物、打牌、垂钓，导致多名家人和牌友被感染。目前，老屋村确诊人数已达7人。因对村民放任自流，玩忽职守，严重违反防控指令，原老屋村党支部书记、村委会主任王某凤已被撤销党内职务，依法罢免村委会主任职务。3月1日，黄石开发区·铁山区公安分局依法对王某凤、潘某松、王某三人因涉嫌妨害传染病防治罪立案侦查。@中国新闻周刊
FM104女人电台,:#众志成城抗疫情#【世卫组织：新冠肺炎重症患者死亡率超过50%】世卫组织指出，大约80%患者症状较轻，14%左右发展为严重疾病，5%左右属于重症病例。早期研究显示，感染后的严重程度和患者的年龄以及是否患有基础性疾病有关。对于重症患者，氧气治疗是主要的治疗手段，所有国家都应该完善脉搏血氧仪和医用氧气系统的可用性。世卫组织指出，重症患者的死亡率超过50%，因此应优化现行的重症患者治疗措施，如肺保护性通气。世卫组织报告指出，目前尚无针对冠状病毒病（COVID-19）的有效治疗方法，因此世卫组织和研发蓝图（R&DBlueprint）目前将研究治疗方案为优先事项。(来源贵阳新闻网)
盼他死,财新：目前中国的官方数据不包括感染上了病毒但没有出现症状的人。
我有我莹,:#腾讯新闻#日本使用哮喘吸入剂治疗新冠肺炎，患者症状得到改善日本使用哮喘吸入剂治疗新冠肺炎，患者症状得到改善来自@腾讯新闻
十七今天吃了啥-,:不同类型青光眼病人的症状也不同，像急性闭角型青光眼的发病就比较急，但也有一部分青光眼患者在早期没有症状，待病情发展到晚期时会出现视野缺损，视功能障碍包括视野缺损。青光眼的症状是怎样的？
爱问医生两性健康,:#黄石两村民发热打牌致多人感染#2月21日至23日，湖北黄石太子镇老屋村4人先后被确诊为新冠肺炎。其中，潘某松、王某无视疫情管控规定，2月5日至16日期间频繁出入，在出现发热、咳嗽症状后，潘某松恶意隐瞒，聚集村民打牌、垂钓，导致多名家人和牌友被感染。防控这根弦一定要绷紧！戴好口罩不聚集。现在整个形势还处于胶着对垒状态，新冠病毒本来就很狡猾，不论是加强防控还是自我防护，方方面面绝不能手滑。http://t.cn/A67U393P
邵阳中院,:【#如何保障在韩的国人尽量不感染新冠肺炎#？】#白岩松对话中国驻韩大使#邢海明：我们已通过大使馆的微信公众号等多种渠道和媒体平台，提醒在韩的中国公民做好以下四点：1、少外出、多防范；2、多通风、戴口罩；3、有症状、早就医；4、不恐慌、不传谣。使馆人员首先要做好上述四点。@新闻一加一L新闻一加一的微博视频http://t.cn/A67o9dw7
