中国侨都-台山发布,:【江门保持0新增！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
韶关武江法院,:#法院动态#武江法院战“疫”审案两不误“互联网+”庭审模式在线解纷“原被告双方都能听得清楚我说话吗？”“画面显示正常吗？”得到肯定答复后，伴随一声清脆的法槌敲击声，韶关市武江区人民法院疫情防控期间首宗互联网在线庭审案于2020年2月19日上午9点40分正式开庭。据了解，该案为买卖合同纠纷案件，被告欠原告货款2万余元，原告多次催收无果后诉至武江法院。由于庭审时间恰在疫情防控期，为在保障人民群众身体健康的同时确保案件审理进度，该案承办法官仔细阅卷后通过电话方式主动联系原、被告，发现双方当事人均有调解意愿，故法官建议使用网络庭审的方式进行线上调解，于是便有了文章开头的一幕。在法官的主持下，原、被告最终达成调解协议，双方分别在各自的手机端上阅读了笔录并签名确认，该案成功调解，法院出具的调解书将及时以邮寄的方式送达给双方当事人。在全民战“疫”期间，武江法院充分利用智慧法院建设成果，保障诉讼参与人在线办事、法院干警在线办公，最大限度减少人员出行和聚集。目前，该院严格按照《韶关市武江区人民法院新型冠状病毒肺炎疫情防控工作指引》引导当事人尽量采用广东移动微法院、12368诉讼服务热线、邮递等方式办理诉讼事项，切实保障当事人在疫情防控期间的诉讼权利。同时，为确保开庭、听证等工作有序开展，该院积极运用“云上法庭”和“广东诉讼服务网网上开庭”互联网审判平台进行在线庭审，相比以往传统的现场开庭模式，当事人足不出户，使用微信登录便能在线参与开庭活动更加便捷安全。下一步，武江法院将继续积极引导当事人选择线上方式办事，实现群众线下纠纷线上解，保障审判执行工作的正常有序开展。
韶关天气,:#上班天气#【市区短时天气预报】预计未来3小时，市区，阴天，偏北风1-2级，13到15度。韶关市气象台2020年02月20日08时发布
中国社会福利基金会,:2月15日-18日，广东省伙伴机构-英德市亮石志愿者协会联合、梅州市关爱妇女儿童中心、清远市青桥社会工作、韶关市乐善义工会和广东救援辅助队在清远、韶关、广州和英德、梅州开始疫情防控工作。期间，各伙伴主要开展社区消杀、驻点排查、线上线下宣传和物资捐赠活动。在近6个社区、街道进行了防疫宣传和物资发放，对6个社区、单位、街道进行了防疫消杀、人员排查等工作，向四个伙伴机构转运一次性医用口罩10000只。受惠地区包括广州市陂村街道，英德市英城街道城西社区、城中社区和成社区、韶关市文明办、梅州市华城镇一线防控点等。在近期工作中，针对辖区内无物业管理的6个小区进行防疫消杀及防疫宣传工作，受益群众达到10万。
里洋洋,:【韶关国家森林公园】是经原林业部批准在韶关林场基础上建立的国家级森林公园。公园公园位于韶关市区，与韶关市三江六岸交相辉映，原规划包括皇岗山、莲花山，现韶关政府决定将邻近的芙蓉山也纳入公园范围，扩大后的公园面积为4388公顷。扩大后的公园主要分为皇岗山、莲花山、芙蓉山等六大景区。
爪爪回家,:#爪爪回家#韶关市，西施犬，黑白走失，🙏🙏🙏提供线索或转发，帮牠回家！🙏🙏🙏http://t.cn/A6h0VLL3
韶关鹏程万里人才网,:韶关市好药师医药有限公司营业员执业药师（药师）药房助理电话：0751-8219826邮箱：sghr@pcwl.com（请注明公司名+职位）详情请登录查看：http://t.cn/A6h0wfFa
叶一金69397,:广东省，韶关市南雄市？当地的党员干部村官村霸处处可见，为什么不帮两位省长市长办买医保.社保？？？！！！刘老先生现在正南雄往院医疗费追究谁来负责？引导支撑电线的旧木竹竿己无法再用了！到当地镇政府部门跑了无数次至今都未安装电表，当地官员叫去年年前1500元不知交什么钱？举报人希望把不该用的村全部开除，追查
潮州陈少兄弟,:「好的消毒水作为公安局捐赠品」韶关市公安局曲江分局接受「研肤司消毒水」捐赠。消毒水现货可发，10瓶250元，量大可以再议[爱心][爱心]
韶关天气,:【韶关市寒冷橙色预警解除】寒潮影响减弱，气温逐渐回升，韶关市气象台于2月19日14时30分解除寒冷橙色预警信号。http://t.cn/R2TuaaC
大腾不蛋疼,:广东省韶关市科协开展2019年全国科普日“急救知识普及与应急广东省韶关市科协开展2019年全国科普日“急救知识普及与应急救护实操培训”"六进"系列科普活动http://t.cn/A6Po7WyO
健建33,:今天开车从广东省韶关市翁源县G78汕昆高速到大廖汽车修理厂用时13分钟，平均时速44公里/小时，@高德地图
广汽丰田荣晖韶南店,:#广汽丰田##威兰达##全新换代雷凌#多一分清新多一份安心，搭载智能PM2.5过滤系统，实时监测显示PM2.5浓度登记，高效净化，净享安心。咨询热线：0751-8291666，展厅地址：韶关市浈江区韶南大道10号。
韶关天气预报,:韶关市，今天阴转多云，4~18℃，微风，空气优http://t.cn/EIN86UJ
丿挥之不去的回忆丶,:【船底顶】船底顶位于韶关市曲江区罗坑镇，位于广东英德和曲江交接处，属南岭山脉南支，海拔1586米，为广东第二高峰。船底顶囊括了竹林、草地、溪流、湿地、悬崖、乱石坡等各种山区地貌景观，被视为省内驴友自虐的巅峰之地。
我爱我敬爱,:一个体重仅920克的“巴掌宝宝”，在呱呱诞生于韶关市粤北医院后，以惊人的求生意志存活了一个多月。近日，“巴掌宝宝”的体重从920克上升到了1460克，但却因实在不够钱支持住院，孩子的父母最终决定将他接出院。广州·增城区第一中学
韶关市运田金属材料有限公司,:【锗泥回收多少钱？运田厂家正在高价回收锗金属等废旧金属，运田金】锗泥回收多少钱？运田厂家正在高价回收锗金属等废旧金属，运田金属专业回收加工提纯当然价格更高.欢迎来电公司名称：韶关市运...（分享自@百度贴吧）#来手机贴吧，看你想看的#http://t.cn/A6h9r1hr
韶关家园网官方微博,:【韶关市第5例新冠肺炎患者出院，半数患者治愈】18日上午10时许，韶关市又1例新冠肺炎患者治愈出院。在离开医院前，该患者对医护人员们连声道谢，截至目前，全市已有5名确诊患者治愈出院出院患者Ｅ，女性，59岁，家住浈江区，有与武汉来韶人员接触史。患者1月24日开始出现咽痛、胸痛、咳嗽症状，1月31日入院就诊并被采取隔离措施。2月1日被送往定点医院粤北第二人民医院接受隔离治疗。2月2日经新型冠状病毒核酸检测确诊为新型冠状病毒肺炎病例。经过粤北第二人民医院、粤北人民医院、市第一人民医院等新冠肺炎临床救治专家及医护人员的精心救治、悉心护理，患者体温恢复正常，咳嗽等症状消失。经韶关市疾控中心对患者先后二次间隔24小时以上进行的病毒核酸检测，结果均为阴性，已符合国家卫生健康委办公厅印发的《新型冠状病毒感染的肺炎诊疗方案》中的确诊病例解除隔离和出院标准。今天予以出院，医院叮嘱出院患者继续隔离观察2周。来源：韶关发布
韶关税务,:韶关日报：市税务局为疫情防控物资生产企业复工复产提供税务支持保障抗击疫情“粮草”供应疫情发生以来，防控物资需求激增，韶关市税务局及时行动，通过“非接触式”服务方式，逐一与辖区内的防疫物资相关企业取得联系，提供精准服务，助力疫情防控物资生产企业复工复产。　　　　“做好疫情防控工作是我们医药用品生产企业义不容辞的责任。”博雅生物制药（广东）有限公司负责人邓志华说道。目前，企业开足马力、加班加点全力投入生产。韶关市税务局了解该情况后，立即安排专人对该企业开展涉税辅导，帮助企业用好广东省税务局“税务十条”等政策，为其在账务处理、税收优惠等问题上提供专业的税务辅导，全力支持和推动企业生产。“很感谢税务部门给予我们的关心与支持，我们也将全力以赴生产出高质量的产品，为打好疫情阻击战贡献自己的力量。”邓志华说道。　　韶关市蓝威消毒药液有限公司为了全力保障市场消毒用品的供应，增加工人数量、延长工作时间，日生产量同比增长10倍以上。据悉，企业因疫情扩大生产，发票开具数量激增。“税务部门第一时间为我们开通了申领发票的绿色通道，给我们发放了81份发票并新增了100份电子普票，极大缓解了我们的用票压力。还及时为我们提供物资捐赠方面的税收优惠政策宣传辅导，进一步增强了我们复工复产的信心。”该企业负责人表示。　　　　同样面临发票使用需求增大的还有生产国内约70%医用防护服密封条的韶关市高信塑胶制品有限公司。了解到该企业因疫情生产规模扩大、发票领用不够等问题，韶关市税务局启动发票领取绿色快速响应机制，同时推出“发票免费配送到家”服务，以高效、便民的方式协助企业一次不用跑就解决了发票领用问题，为企业满负荷生产提供坚强的税收后盾。　　　（来源：韶关日报封艳苹）
想一天的昵称都不能用,:#广东韶关市狗狗领养#会到厕所便便，会听指令，面对熟人各种撒娇卖萌，因家庭原因不能继续照顾它，希望找一个有责任心的主人。
韶关鹏程万里人才网,:诚聘幼师1、大专学历、有幼儿园工作经验优先、有较强的沟通能力，有较强的班级管理能力；2、享受五险；享受学校早午餐；享受周末双休，享受国家所有公休，有寒暑假；3、工作时间周一至周五，8小时工作时间；电话：0751-8219830邮箱：sghr@pcwl.com（请注明公司名+职位）地址：韶关市武江区沙湖绿洲幼儿园足不出户也能找到心仪的工作，关注公众号韶关微招聘，鹏程万里网站http://t.cn/Rzktg4X
韶关那些事儿,:#韶关身边事#【捷报！韶关第5例新冠肺炎患者出院，半数患者治愈】#抗击新型肺炎第一线#“你们辛苦了，非常感谢你们这段时间对我的照顾。”18日上午10时许，我市又1例新冠肺炎患者治愈出院，在离开医院前，该患者对医护人员们连声道谢，截至目前，韶关已有5名确诊患者治愈出院出院患者Ｅ，女性，59岁，家住浈江区，有与武汉来韶人员接触史。患者1月24日开始出现咽痛、胸痛、咳嗽症状，1月31日入院就诊并被采取隔离措施。2月1日被送往定点医院粤北第二人民医院接受隔离治疗。2月2日经新型冠状病毒核酸检测确诊为新型冠状病毒肺炎病例。经过粤北第二人民医院、粤北人民医院、市第一人民医院等新冠肺炎临床救治专家及医护人员的精心救治、悉心护理，患者体温恢复正常，咳嗽等症状消失。经韶关市疾控中心对患者先后二次间隔24小时以上进行的病毒核酸检测，结果均为阴性，已符合国家卫生健康委办公厅印发的《新型冠状病毒感染的肺炎诊疗方案》中的确诊病例解除隔离和出院标准。今天予以出院，医院叮嘱出院患者继续隔离观察2周。来源：韶关发布http://t.cn/RyhWvRV
