爱信阳,:#信阳生活#【3月2日信阳新增确诊0例，新增治愈5例！】2020年3月2日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者5例（信阳市第五人民医院3例、潢川县人民医院1例、息县人民医院1例）。新增出院患者5例。无疑似病例。截至3月2日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈267例，治愈率97.4%；累计出院患者267例，出院率97.4%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者2例。目前累计追踪到密切接触者核准2863人，已解除医学观察2702人。（来源：信阳市卫生健康委员会）#新型冠状病毒感染肺炎#http://t.cn/A6hwF3tg
新疆发布,#众志成城打赢疫情防控阻击战#【3月1日新疆（含兵团）2例新冠肺炎病例治愈出院累计治愈出院64例】#疫情防控动态#3月1日，新疆维吾尔自治区（含新疆生产建设兵团）又有2例新冠肺炎确诊病例治愈出院，均为乌鲁木齐市病例。2名患者入院后，经自治区医疗救治专家组的科学指导和定点医院医护人员的精心诊治，专家组会诊评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例出院标准。截至目前，自治区（含兵团）累计治愈出院病例64例，现有住院隔离治疗9人。
南阳同城会,:#南阳快讯##南阳战疫#【南阳0新增0疑似，本地住院病例清零！护士小姐姐在郑治疗】截至2020年2月29日16时，我市无新增疑似病例，无新增确诊病例，新增治愈病例6例，至此，南阳本地住院病例全部治愈出院——清零。南阳市在郑州在院治疗的还有4例（含南阳市中心医院疫战中这位感染护士），疑似病例0例。
乌鲁木齐网警巡查执法,:【新疆无新增确诊病例，伊犁州、兵团第四师确诊病例清零】2020年2月29日0-24时，新疆（含兵团）报告新型冠状病毒肺炎新增确诊病例0例，新增死亡病例0例，新增治愈出院病例10例。其中:新增治愈出院病例中，乌鲁木齐市1例、伊犁州6例、兵团第四师3例。截至2月29日24时，新疆（含兵团）累计报告新型冠状病毒肺炎确诊病例76例（新疆维吾尔自治区52例、新疆生产建设兵团24例），累计死亡病例3例，累计治愈出院病例62例。截至2月29日24时，新疆（含兵团）现有确诊病例11例（新疆维吾尔自治区9例、新疆生产建设兵团2例），其中：乌鲁木齐市6例、昌吉州1例、吐鲁番市2例、兵团第八师1例、兵团第九师1例；现有重症病例3例。目前尚有3432人正在接受医学观察。
汝州人不知道的汝州事儿,:#汝州同城#【清零！平顶山市（含汝州市）现有确诊病例0例】3月1日，据平顶山市卫健委，2020年2月29日0-24时，平顶山市新增确诊病例0例，新增疑似病例0例，新增治愈出院4例(新华区2例、卫东区2例）。截至2月29日24时，平顶山市连续15天无新增确诊病例、连续11天无新增疑似病例，累计报告的58例确诊病例(含汝州市1例），除1例死亡外，已全部治愈出院；累计追踪到密切接触者1422人，已解除隔离观察1408人，正在接受医学观察14人。http://t.cn/Rxm5Hzm
掌上阜阳,:#阜阳##好消息##新型冠状病毒#【阜阳连续11天无新增，今天预计治愈出院7例（含由亳州转入患者2例）】根据省卫健委发布的最新疫情情况，阜阳市2月29日0-24时无新增新冠肺炎确诊病例，无新增疑似病例。新增治愈出院6例，累计治愈出院134例。3月1日预计治愈出院7例（含由亳州转入患者2例）。截至2月29日24时，阜阳市累计报告新冠肺炎确诊病例155例。其中：本地病例154例（临泉县45例，阜南县39例，颍州区18例，颍泉区13例，颍东区14例，太和县7例，颍上县14例，界首市2例、开发区2例），外地病例1例（亳州市1例）；男性87例，女性68例。9岁以下4例，10-19岁10例，20-29岁20例，30-39岁30例，40-49岁45例，50-59岁28例，60岁以上18例。全市累计排查出密切接触者4111人，仍在医学观察24人，已解除4087人。
齐鲁网,:#泰安身边事##山东新型冠状病毒肺炎最新消息#【2月29日12-24时，泰安市无新增新冠肺炎确诊病例治愈出院1例】截至2月29日24时，泰安市累计新型冠状病毒肺炎确诊病例35例（含治愈出院30例，死亡病例2例），其中泰山区25例（泰山区上报，2例居住地为岱岳区，1例居住地为新泰市，6例居住地为泰安高新区，2例居住地为徂汶景区），岱岳区1例，新泰市4例，肥城市2例，宁阳县1例，东平县2例。排除疑似病例17例，其中泰山区9例（泰山区上报，3例居住地为岱岳区，2例居住地为泰安高新区），岱岳区1例，新泰市4例，肥城市1例，宁阳县1例，东平县1例。治愈出院30例，死亡病例2例。
青春鹰城,:【#2月29日平顶山无新增病例，新增治愈出院4例#】2020年2月29日0-24时，我市新增确诊病例0例，新增疑似病例0例，新增治愈出院4例(新华区2例、卫东区2例）。截至2月29日24时，我市连续15天无新增确诊病例、连续11天无新增疑似病例，累计报告的58例确诊病例(含汝州市1例），除1例死亡外，已全部治愈出院；累计追踪到密切接触者1422人，已解除隔离观察1408人，正在接受医学观察14人。
马鞍山的那点事,:【马鞍山昨日新增确诊病例0例新增疑似病例0例】截至2月29日24时，全市累计报告确诊病例38例，其中：和县（含郑蒲港）27例，雨山（含经开区）8例，含山1例，当涂1例，花山1例。全市在院治疗确诊病例5例，病情平稳，无死亡病例，出院病例33例。目前，累计追踪到本地密切接触者1071人，解除医学观察1054人，尚有17人正在接受医学观察。
威海播报,:【威海日报社讯】【疫情通报：3月1日威海新型冠状病毒肺炎疫情情况】2020年2月29日12-24时，威海市报告新型冠状病毒肺炎无新增确诊病例，新增治愈出院病例1例。　　截至2月29日24时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中：环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例31例（环翠区19例、文登区5例、荣成市1例、乳山市6例）。累计追踪到密切接触者1730人，已解除医学观察1726人，尚有4人正在接受医学观察。　　备注：根据国家卫健委关于疫情信息报告新要求，按病例确诊时医院所在区市统计；按省疫情信息统计要求，高区、经区、临港区医疗机构报告病例计入环翠区发布。
威海晚报,:#坚决打赢疫情防控的人民战争总体战阻击战#【无新增病例！新增治愈出院病例1例！】2020年2月29日12-24时，威海市报告新型冠状病毒肺炎无新增确诊病例，新增治愈出院病例1例。截至2月29日24时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中：环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例31例（环翠区19例、文登区5例、荣成市1例、乳山市6例）。累计追踪到密切接触者1730人，已解除医学观察1726人，尚有4人正在接受医学观察。备注：根据国家卫健委关于疫情信息报告新要求，按病例确诊时医院所在区市统计；按省疫情信息统计要求，高区、经区、临港区医疗机构报告病例计入环翠区发布。（来源：威海市卫生健康委员会）
齐齐哈尔新闻网,:疫情信息记者从齐齐哈尔市卫健委获悉，截至2月29日24时，全市报告新增确诊病例0例，累计43例。报告新增疑似病例0例，现有0例。全市29日当日发热门诊诊疗人数210人。已解除医学观察1228人，尚有54人正在接受隔离医学观察。确诊43例病例，(含重症2例，死亡1例，治愈33例)。
安阳身边儿事,:#抗击肺炎，安阳在行动#【截至2月29日24时丨安阳市无新增确诊病例，累计53例（含滑县2例）】河南省卫生健康委3月1日发布《截至2月29日24时河南省新型冠状病毒肺炎疫情最新情况》：2020年2月29日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院24例、死亡1例。截至2月29日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例4例，累计死亡病例22例，累计出院病例1185例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39199人，2月29日已解除观察226人，共有1328人正在接受医学观察。http://t.cn/RyhTl6E
平顶山晚报,:【最后4例出院，平顶山现有确诊病例0例】平顶山传媒记者王民峰3月1日，从市卫健委传来消息，2月29日0-24时，我市新增确诊病例0例，新增疑似病例0例，新增治愈出院4例(新华区2例、卫东区2例）。截至2月29日24时，我市连续15天无新增确诊病例、连续11天无新增疑似病例，累计报告的58例确诊病例(含汝州市1例），除1例死亡外，已全部治愈出院；累计追踪到密切接触者1422人，已解除隔离观察1408人，正在接受医学观察14人。
阜阳城市周报,:【2月29日24时阜阳市报告新冠肺炎疫情情况】根据省卫健委发布的最新疫情情况，阜阳市2月29日0-24时无新增新冠肺炎确诊病例，无新增疑似病例。新增治愈出院6例，累计治愈出院134例。3月1日预计治愈出院7例（含由亳州转入患者2例）。截至2月29日24时，阜阳市累计报告新冠肺炎确诊病例155例。其中：本地病例154例（临泉县45例，阜南县39例，颍州区18例，颍泉区13例，颍东区14例，太和县7例，颍上县14例，界首市2例、开发区2例），外地病例1例（亳州市1例）；男性87例，女性68例。9岁以下4例，10-19岁10例，20-29岁20例，30-39岁30例，40-49岁45例，50-59岁28例，60岁以上18例。全市累计排查出密切接触者4111人，仍在医学观察24人，已解除4087人。
民生面对面,:【聊城无新增！】2020年2月28日12时至24时，聊城市无新增新冠肺炎确诊病例和疑似病例。累计确诊病例38例(含治愈出院33例)，按病例确诊时医院所在县区统计：东昌府区27例，阳谷县4例，莘县3例，东阿县2例，临清市1例，冠县1例。现无疑似病例。截至目前，追踪到密切接触者830人，已解除医学观察815人，尚有15人正在接受医学观察。聊城市卫生健康委员会2020年2月29日
平顶山市人民政府,:【#我市现有0确诊病例#截至2月29日24时平顶山市新冠肺炎疫情情况（含汝州市）】2020年2月29日0-24时，我市新增确诊病例0例，新增疑似病例0例，新增治愈出院4例(新华区2例、卫东区2例）。截至2月29日24时，我市连续15天无新增确诊病例、连续11天无新增疑似病例，累计报告的58例确诊病例(含汝州市1例），除1例死亡外，已全部治愈出院；累计追踪到密切接触者1422人，已解除隔离观察1408人，正在接受医学观察14人。来源：平顶山市人民政府门户网站
新浪河南,:截至2月29日24时，我市连续15天无新增确诊病例、连续11天无新增疑似病例，累计报告的58例确诊病例(含汝州市1例），除1例死亡外，已全部治愈出院；累计追踪到密切接触者1422人，已解除隔离观察1408人，正在接受医学观察14人。（平顶山市卫生健康委）#抗击疫情我们在一起#
新乡日报,:【新乡连续14天无新增】2020年2月29日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院24例、死亡1例。截至2月29日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例4例，累计死亡病例22例，累计出院病例1185例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39199人，2月29日已解除观察226人，共有1328人正在接受医学观察。（来源：河南省卫生健康委员会）
巩义融媒,:河南2月29日无新增确诊病例。2020年2月29日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院24例、死亡1例。截至2月29日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例4例，累计死亡病例22例，累计出院病例1185例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39199人，2月29日已解除观察226人，共有1328人正在接受医学观察。来源：河南省卫生健康委员会
新浪河南,:#河南防控新型肺炎疫情#【#安阳#市无新增新型冠状病毒肺炎确诊病例】3月1日，河南省卫生健康委发布公开信息，2月29日0-24时，我省无新增新型冠状病毒肺炎确诊病例，我市无新增确诊病例。截至2月29日24时，我市累计报告新型冠状病毒肺炎确诊病例53例（含滑县2例），累计治愈病例47例。（安阳市卫生健康委）#抗击疫情我们在一起#
湛泸剑,:【截至2月29日24时，新疆无新增确诊病例，新增治愈出院10例】2020年2月29日0-24时，新疆（含兵团）报告新型冠状病毒肺炎新增确诊病例0例，新增死亡病例0例，新增治愈出院病例10例。其中:新增治愈出院病例中，乌鲁木齐市1例、伊犁州6例、兵团第四师3例。截至2月29日24时，新疆（含兵团）累计报告新型冠状病毒肺炎确诊病例76例（新疆维吾尔自治区52例、新疆生产建设兵团24例），累计死亡病例3例，累计治愈出院病例62例。截至2月29日24时，新疆（含兵团）现有确诊病例11例（新疆维吾尔自治区9例、新疆生产建设兵团2例），其中：乌鲁木齐市6例、昌吉州1例、吐鲁番市2例、兵团第八师1例、兵团第九师1例；现有重症病例3例。目前尚有3432人正在接受医学观察。（新疆维吾尔自治区卫生健康委员会）
信阳市生态环境局,:信阳连续7天无新增确诊病例！2020年2月29日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院24例、死亡1例。截至2月29日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例4例，累计死亡病例22例，累计出院病例1185例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39199人，2月29日已解除观察226人，共有1328人正在接受医学观察。来源：河南省卫生健康委员会
聊城同城,:【2020年2月29日12时至24时聊城市新型冠状病毒肺炎疫情情况】#聊城抗疫在行动#2020年2月29日12时至24时，聊城市无新增新冠肺炎确诊病例和疑似病例，治愈出院1例。累计确诊病例38例(含治愈出院34例)，按病例确诊时医院所在县区统计：东昌府区27例，阳谷县4例，莘县3例，东阿县2例，临清市1例，冠县1例。现无疑似病例。截至目前，追踪到密切接触者830人，已解除医学观察818人，尚有12人正在接受医学观察。聊城市卫生健康委员会2020年3月1日http://t.cn/RV3DQWX
安阳日报,:【截至2月29日24时丨安阳市无新增确诊病例，累计53例（含滑县2例）】河南省卫生健康委3月1日发布《截至2月29日24时河南省新型冠状病毒肺炎疫情最新情况》：2020年2月29日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院24例、死亡1例。截至2月29日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例4例，累计死亡病例22例，累计出院病例1185例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39199人，2月29日已解除观察226人，共有1328人正在接受医学观察。⑬
闻来闻往,:2月29日新疆(含兵团)10例新冠肺炎病例治愈出院【来自中新网客户端】http://t.cn/A67MG94V
zhuxiaohu1,:微视频|27日新疆(含兵团)又有9例新冠肺炎病例治愈出院http://t.cn/A67Vezzr
蜓亦翱翔,【美国首现新冠死亡病例】据法新社2月29日报道，美国出现首例新冠状病毒感染死亡病例。#近距离看全球##全球疫情#
长垣人,:#长垣[超话]#【确诊病例清零!截至28日24时，长垣13例确诊病例全部治愈出院！】2020年2月28日0-24时，新乡市新增新型冠状病毒肺炎确诊病例0例，疑似病例0例，新增出院病例2例（含长垣市1例）。截至2月28日24时，全市累计报告新型冠状病毒肺炎确诊病例57例（含长垣市13例）。现有重症病例0例，危重病例0例，累计死亡病例3例，累计出院病例53例（含长垣市13例）。现有在院确诊病例1例（含长垣市0例）。目前追踪到密切接触者1809人（含长垣424人），2月28日解除医学观察6人（含长垣0人），尚有15人（含长垣6人）正在接受医学观察。新乡市卫生健康委员会2020年2月29日
用户6054781713,:分享：新疆（含兵团）无新增新冠肺炎确诊病例　新增治愈出院9例--社会--人民网http://t.cn/A67I4ErA
